Cenário,Regra,Quantidade,Tipo,% do Total
Consenso entre Detox e Persp,Detox > 0.80 E Persp > 0.2,583,Consenso,3.36%
Consenso entre Detox e Persp,Detox > 0.80 E Persp > 0.3,484,Consenso,2.79%
Consenso entre Detox e Persp,Detox > 0.80 E Persp > 0.4,280,Consenso,1.61%
Consenso entre Detox e Persp,Detox > 0.80 E Persp > 0.5,125,Consenso,0.72%
Consenso entre Detox e Persp,Detox > 0.80 E Persp > 0.6,37,Consenso,0.21%
Consenso entre Detox e Persp,Detox > 0.80 E Persp > 0.7,2,Consenso,0.01%
Consenso entre Detox e Persp,Detox > 0.80 E Persp > 0.8,0,Consenso,0.00%
Filtro Conservador Base,Detox > 0.80 E Persp > 0.20,583,Filtro,3.36%
Divergência (Persp ignora T),Detox > 0.80 E Persp < 0.2,38,Divergência,0.22%
Divergência (Persp ignora T),Detox > 0.80 E Persp < 0.3,137,Divergência,0.79%
Divergência (Persp ignora T),Detox > 0.80 E Persp < 0.4,341,Divergência,1.96%
Divergência (Persp ignora T),Detox > 0.80 E Persp < 0.5,496,Divergência,2.86%
Divergência (Persp ignora T),Detox > 0.80 E Persp < 0.6,584,Divergência,3.36%
Divergência (Persp ignora T),Detox > 0.80 E Persp < 0.7,619,Divergência,3.57%
Divergência (Persp ignora T),Detox > 0.80 E Persp < 0.8,621,Divergência,3.58%
