Creator Name,Original SVTs,Consensus SVTs,Consensus (%),NT,NT (%),GZ,GZ (%),T,T (%)
Amy Scarlet,273,149,54.58,70,46.98,59,39.6,20,13.42
Athos,1876,968,51.6,274,28.31,603,62.29,91,9.4
AuthenticGames,11863,5100,42.99,2594,50.86,2269,44.49,237,4.65
Cadres,1940,950,48.97,448,47.16,438,46.11,64,6.74
Geleia,16784,6846,40.79,3164,46.22,3434,50.16,248,3.62
JP Plays,19965,9426,47.21,6924,73.46,2390,25.36,112,1.19
Julia MineGirl,10774,5172,48.0,3366,65.08,1672,32.33,134,2.59
Kass e KR,11714,5376,45.89,2386,44.38,2831,52.66,159,2.96
Lokis,14502,5863,40.43,2749,46.89,2863,48.83,251,4.28
Luluca Games,4889,2320,47.45,1325,57.11,931,40.13,64,2.76
Marcelodrv,3952,1832,46.36,721,39.36,983,53.66,128,6.99
Papile,3310,1806,54.56,1318,72.98,439,24.31,49,2.71
Robin Hood Gamer,13819,7677,55.55,4093,53.32,3033,39.51,551,7.18
Tex HS,6282,2729,43.44,1955,71.64,710,26.02,64,2.35
meu nome é david,756,421,55.69,220,52.26,156,37.05,45,10.69
Total / Average,122699,56635,46.16,31607,55.81,22811,40.28,2217,3.91
