Creator Name,Total SVTs,NT,NT (%),GZ,GZ (%),T,T (%)
Amy Scarlet,149,70,46.98,59,39.6,20,13.42
Athos,968,274,28.31,603,62.29,91,9.4
AuthenticGames,5100,2594,50.86,2269,44.49,237,4.65
Cadres,950,448,47.16,438,46.11,64,6.74
Geleia,6846,3164,46.22,3434,50.16,248,3.62
JP Plays,9426,6924,73.46,2390,25.36,112,1.19
Julia MineGirl,5172,3366,65.08,1672,32.33,134,2.59
Kass e KR,5376,2386,44.38,2831,52.66,159,2.96
Lokis,5863,2749,46.89,2863,48.83,251,4.28
Luluca Games,2320,1325,57.11,931,40.13,64,2.76
Marcelodrv,1832,721,39.36,983,53.66,128,6.99
Papile,1806,1318,72.98,439,24.31,49,2.71
Robin Hood Gamer,7677,4093,53.32,3033,39.51,551,7.18
Tex HS,2729,1955,71.64,710,26.02,64,2.35
meu nome é david,421,220,52.26,156,37.05,45,10.69
Total,56635,31607,55.81,22811,40.28,2217,3.91
