comments_total,authors_total,comments_mean_day,comments_avg_day,comments_median_day,comments_max_day
1395,1055,1.5016146393972012,29.17320170672333,0.0,885
1320,1046,0.7432432432432432,16.087278132139055,0.0,486
7431,5829,4.082967032967033,72.41346553019245,0.0,2607
4713,3806,2.543443065299514,44.433327591818745,0.0,1408
2682,1115,1.5954788816180845,36.73331274553939,0.0,1230
1909,1416,1.2924847664184158,26.469131770950327,0.0,724
2529,2009,1.3895604395604395,32.952835851877566,0.0,1052
1252,1014,0.8706536856745479,19.0098304713125,0.0,592
5262,4153,3.974320241691843,54.715433193433995,0.0,1525
1757,1340,1.1350129198966408,24.60168511184613,0.0,692
1537,1287,1.2840434419381788,26.68469782512401,0.0,723
1091,903,0.6548619447779112,16.04446796635126,0.0,592
2460,1886,1.3538800220143092,23.086857818571513,0.0,835
