video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,roberta-neg,roberta-neu,roberta-pos,channel_id,inter-arrival-time,inter-arrival-time-seconds
xIKCuguEW8s,Ugy3ZWNtnEI0yCCuKjJ4AaABAg,@lucca_7391,https://yt3.ggpht.com/mY14foQfn7Tv-qPlVpzA1PwqP-u_Oz5NBtD3vbydWMmjiF3xb5GMyodg31LtNUKOhnudpI3jeA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lucca_7391,UCWs8qgnpaiPZfjQfN1QwKqQ,Primeiro,2020-10-09 14:00:27+00:00,2020-10-09T14:00:27Z,2,none,True,False,,0.1964644640684127,0.5717378854751587,0.2317976951599121,UCIPA6iWNaoetaa1T46RkzXw,,
xIKCuguEW8s,UgySMUOIPxzINqTI68N4AaABAg,@leandromoutinho6662,https://yt3.ggpht.com/ytc/AIdro_mCPSWqJbvN1AL_e-eKU8TwkQxUNnYkXNSOtGLQooht7P4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@leandromoutinho6662,UCmA4rh110E12E3y_rcBZ7vw,foge do dragaooo,2020-10-09 14:00:33+00:00,2020-10-09T14:00:33Z,1,none,True,False,,0.1190208941698074,0.7431141138076782,0.1378649175167083,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:06,6.0
xIKCuguEW8s,Ugyw4TccUrgFpGpnzOh4AaABAg,@inscreva-se5562,https://yt3.ggpht.com/ytc/AIdro_kJDkFpSFGfXlQ8kKLKZDFvOR6ZBZZk5EEtvKnGyNMrWWQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@inscreva-se5562,UCiqIfhYj-gMj-7rKZDH3bxQ,"eu queria crescer no YouTube mais tá difícil 😭😭

famoso. 12:35 💔:)",2020-10-09 14:00:37+00:00,2020-10-09T14:00:37Z,1,none,True,False,,0.3761223256587982,0.5156533718109131,0.1082243174314498,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:04,4.0
xIKCuguEW8s,UgzLDXrpNjIwvyf9m3d4AaABAg,@5ive8ight,https://yt3.ggpht.com/ytc/AIdro_m8f50jRTHvlCAeutOiaI3qhXhvGLZ56aZEvcjsWXPZyPs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@5ive8ight,UCFkpFWG5zXuC_KICX5lTfdA,"To the person that’s reading this:

You’re very intelligent and adorable human!
Stay healthy during quarantine

My Dream is to have 70k.  I been struggling to get there💙",2020-10-09 14:00:40+00:00,2020-10-09T14:00:40Z,4,none,True,False,,0.0144037995487451,0.0882686451077461,0.8973275423049927,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:03,3.0
xIKCuguEW8s,Ugxvk-RGoL1vTwpESP94AaABAg,@naovejaminhafoto8903,https://yt3.ggpht.com/ytc/AIdro_kjzoSbssSmLg-lQtHHr1Su8_UO1pypdQzh7ykZwxyG=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@naovejaminhafoto8903,UCgTtSFOzh8CEj20JpRWH_EQ,"COMO TÁ A ESTAÇÃO NA  SUA CIDADE  ??

1 CALOR ☀️

2 FRIO 🌤


*SÓ NÃO LEIA MEU NOME*",2020-10-09 14:00:51+00:00,2020-10-09T14:00:51Z,0,none,True,False,,0.0591051802039146,0.8573571443557739,0.083537645637989,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:11,11.0
xIKCuguEW8s,UgzZMJjaiqq_1afLZWZ4AaABAg,@raphafj4091,https://yt3.ggpht.com/LpVZPPwzmRU_8LLieODKMnlRltmnV4JOeebdrkGvhOWwSmdtOd5N4svZVcaAqYpDtnsWd3IBDQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@raphafj4091,UCHf9BgJXQNIlUUyuBvWKnMQ,Oh tete,2020-10-09 14:00:53+00:00,2020-10-09T14:00:53Z,0,none,True,False,,0.264963835477829,0.5966880917549133,0.1383480429649353,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:02,2.0
xIKCuguEW8s,UgxKfndvMI7kA8tAakl4AaABAg,@naovejaminhafoto8903,https://yt3.ggpht.com/ytc/AIdro_kjzoSbssSmLg-lQtHHr1Su8_UO1pypdQzh7ykZwxyG=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@naovejaminhafoto8903,UCgTtSFOzh8CEj20JpRWH_EQ,"COMO TÁ A ESTAÇÃO NA  SUA CIDADE  ??

1 CALOR ☀️

2 FRIO 🌤


*SÓ NÃO LEIA MEU NOME*",2020-10-09 14:00:56+00:00,2020-10-09T14:00:56Z,0,none,True,False,,0.0591051802039146,0.8573571443557739,0.083537645637989,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:03,3.0
xIKCuguEW8s,Ugy3OniKTfCkNhThu1t4AaABAg,@r4ulgamerxp748,https://yt3.ggpht.com/ytc/AIdro_mry0jq3NBtPMTknLFk2axsw0aI2Tc9cWeHd2bXzI98LE5M=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@r4ulgamerxp748,UCWbpD5rWGtDSaP2Zq8Ncqxw,Salve,2020-10-09 14:00:58+00:00,2020-10-09T14:00:58Z,0,none,True,False,,0.2267479747533798,0.5057585835456848,0.2674934864044189,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:02,2.0
xIKCuguEW8s,Ugzv4zTZPY795_yEmpV4AaABAg,@tvmine_emissora-fic,https://yt3.ggpht.com/TClzCBg_9wzQqJVj3OLJEHgAsZt4ebt429Gxd1lQtxpku-DGpF-cmlt3Wvt8tjZFsYx2cLLPWw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@tvmine_emissora-fic,UCxoCjjIJIyLyzmvaevhOXGA,Primeiro,2020-10-09 14:01:04+00:00,2020-10-09T14:01:04Z,0,none,True,False,,0.1964644640684127,0.5717378854751587,0.2317976951599121,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:06,6.0
xIKCuguEW8s,UgxWCbt5liTugRGgOIV4AaABAg,@renatosouzaabjj,https://yt3.ggpht.com/E8HAiY0q4T6r9XbhhUZ6ejOMCrkSVtPz9bNnulefL8ghyC1X34gpL7LpwVq3rSXV6l01TlvZhQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@renatosouzaabjj,UCHvC7GkYvpU6mF7nvaB2h0g,Primeiro,2020-10-09 14:01:04+00:00,2020-10-09T14:01:04Z,0,none,True,False,,0.1964644640684127,0.5717378854751587,0.2317976951599121,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:00,0.0
