video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,roberta-neg,roberta-neu,roberta-pos,channel_id,inter-arrival-time,inter-arrival-time-seconds
0fn0UD_9wWE,UgwplzcmtWHWh6ADznV4AaABAg,@lucca_7391,https://yt3.ggpht.com/mY14foQfn7Tv-qPlVpzA1PwqP-u_Oz5NBtD3vbydWMmjiF3xb5GMyodg31LtNUKOhnudpI3jeA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lucca_7391,UCWs8qgnpaiPZfjQfN1QwKqQ,Primeiro,2020-10-24 14:00:14+00:00,2020-10-24T14:00:14Z,0,none,True,False,,0.1964644640684127,0.5717378854751587,0.2317976951599121,UCIPA6iWNaoetaa1T46RkzXw,,
0fn0UD_9wWE,UgzAIjoeqGG8ZqAIMl94AaABAg,@dedetube1342,https://yt3.ggpht.com/exxg_-BU3uipjpDvryDpxnyWg6loEPbb17QxqGYWzUynjV_w54n7oV9GT36w4yNGAGCP2ssPddk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dedetube1342,UCVwD7sifROYU8YyOPpZrOeA,"*⚠ATENÇÃO⚠ AS PRIMEIRAS 250 PESSOAS CURTIREM ESSE COMENTÁRIO TERÁ UMA ÓTIMA NOTÍCIA AMANHÃ ❤*



*TAMBÉM GRAVO 📷✌ SE PUDER DAR UMA PASSADA LÁ EU AGRADEÇO*",2020-10-24 14:00:21+00:00,2020-10-24T14:00:21Z,21,none,True,False,,0.0783329755067825,0.8043266534805298,0.1173403933644294,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:07,7.0
0fn0UD_9wWE,UgxztMzRzf_RdDi2lUZ4AaABAg,@apostas24h,https://yt3.ggpht.com/4ge48tG5GScKxBlRq0uLiCHZTEm0Fs-D3B_wHU6UPlVbhZ8vcbRboqy_ia4yz_Fl9BDkN_zOPA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@apostas24h,UCpoBgzTLxlpb52TyLxGuc8A,"Meu sonho é conquistar as coisas igual a você, tenho um canal humilde mas nunca vou desisti dele ❤️",2020-10-24 14:00:28+00:00,2020-10-24T14:00:28Z,4,none,True,False,,0.0084915850311517,0.333554595708847,0.6579537987709045,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:07,7.0
0fn0UD_9wWE,Ugxn4oynUDbQtUgugbR4AaABAg,@dedetube1342,https://yt3.ggpht.com/exxg_-BU3uipjpDvryDpxnyWg6loEPbb17QxqGYWzUynjV_w54n7oV9GT36w4yNGAGCP2ssPddk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dedetube1342,UCVwD7sifROYU8YyOPpZrOeA,"*⚠ATENÇÃO⚠ AS PRIMEIRAS 250 PESSOAS CURTIREM ESSE COMENTÁRIO TERÁ UMA ÓTIMA NOTÍCIA AMANHÃ ❤*



*TAMBÉM GRAVO 📷✌ SE PUDER DAR UMA PASSADA LÁ EU AGRADEÇO*",2020-10-24 14:00:31+00:00,2020-10-24T14:00:31Z,121,none,True,False,,0.0783329755067825,0.8043266534805298,0.1173403933644294,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:03,3.0
0fn0UD_9wWE,UgzkC0o9lJ5iUFDOL6B4AaABAg,@joaovitoroliveiramenezes7m880,https://yt3.ggpht.com/ytc/AIdro_kB7wt4V6LRhTjkvCX4LfCAyXm60Ex795nv0pP4HHs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@joaovitoroliveiramenezes7m880,UCrUmoMX3w-A_QISmbiyZgbQ,da um coração,2020-10-24 14:00:56+00:00,2020-10-24T14:00:56Z,2,none,True,False,,0.174445554614067,0.7023244500160217,0.1232300326228141,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:25,25.0
0fn0UD_9wWE,Ugxz5Avy-5g55kea6nR4AaABAg,@silvanopereira1014,https://yt3.ggpht.com/ytc/AIdro_lxEWG9aI9Ao2fmCV924BSrb_mguSK6p9Oa8rxvskg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@silvanopereira1014,UCA82O5L3nTweukLFykzJsDA,Cheguei povo,2020-10-24 14:01:06+00:00,2020-10-24T14:01:06Z,0,none,True,False,,0.200264111161232,0.6049649715423584,0.194770947098732,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:10,10.0
0fn0UD_9wWE,UgxlgcVwLCumpQjlZrp4AaABAg,@Gugagamezone,https://yt3.ggpht.com/_CcWbOFYKm0ool-k6J4WoZyKng05ByR-Yvi_eTPUGE6i_VJd3LrBNBfYfvwVNVmcYxCwgpnUfl0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Gugagamezone,UCBqzBi_nj0jiw20DXyamLoA,Cheguei,2020-10-24 14:01:40+00:00,2020-10-24T14:01:40Z,1,none,True,False,,0.2384209632873535,0.541735053062439,0.2198440581560135,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:34,34.0
0fn0UD_9wWE,UgyDdxaILKe6rX0rIqN4AaABAg,@marcosvinicius-zb6ct,https://yt3.ggpht.com/ytc/AIdro_lflhyIQRDgwPhPFpDGGg7--g40y3ybb8z74nqS882oPl8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@marcosvinicius-zb6ct,UC19lU8FDCP_5wL8qnp_NJpg,Quando o AuthenticGames postar vídeo eu vou está lá,2020-10-24 14:01:42+00:00,2020-10-24T14:01:42Z,1,none,True,False,,0.0687122792005539,0.8676949143409729,0.0635928139090538,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:02,2.0
0fn0UD_9wWE,UgyaXfGWjRnyNDoHY-h4AaABAg,@Leonardo0549,https://yt3.ggpht.com/UkImKcpLSiu1h-w6cym1Lt9NXnZaAqgQyMyG-w6XxOaYauygQTVADMnFWLawTx5O81PxiWM1TUM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Leonardo0549,UCmXHSngtLSQ59chaFlwo6Ow,Tt te amo manda sauve.,2020-10-24 14:01:49+00:00,2020-10-24T14:01:49Z,1,none,True,False,,0.1494060754776001,0.7271054983139038,0.1234884485602378,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:07,7.0
0fn0UD_9wWE,Ugy7iat8Gehv--o7BVd4AaABAg,@gabrielcorreadossantos9361,https://yt3.ggpht.com/ytc/AIdro_l55y_SbDIqhD4rtxc34YSZJeMDB4V9RkwZDXMQhFBaCdad=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@gabrielcorreadossantos9361,UCYW503G5ihNTRFfMjsChXrg,Oi tt salvar,2020-10-24 14:01:52+00:00,2020-10-24T14:01:52Z,0,none,True,False,,0.2270260155200958,0.6380845904350281,0.1348893344402313,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:03,3.0
