video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,roberta-neg,roberta-neu,roberta-pos,channel_id,inter-arrival-time,inter-arrival-time-seconds
jRsOLYTlcU4,UgzOlMmk2tCIHqDxXGx4AaABAg,@dailsonnacozinha6402,https://yt3.ggpht.com/ytc/AIdro_lu8zLELsx1Ibr8GPzyvqCq8Jvi4jDfuIDLfbGQV6dd_Zg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dailsonnacozinha6402,UCBs4f46rbMJqHLSIJ0hmlZQ,"ATENÇÃO⚠ AS PRIMEIRAS 300 PESSOAS CURTIR ESSE COMENTÁRIO TERÁ UMA ÓTIMA NOTÍCIA AMANHÃ



TAMBÉM GRAVO 📷✌ SE PUDER DAR UMA PASSADA LÁ EU AGRADEÇO🥂",2020-10-16 21:00:24+00:00,2020-10-16T21:00:24Z,90,none,True,False,,0.0962268337607383,0.8195289373397827,0.0842442587018013,UCIPA6iWNaoetaa1T46RkzXw,,
jRsOLYTlcU4,UgyyAm3yJGsjCGAt-cB4AaABAg,@mariamoura4347,https://yt3.ggpht.com/ytc/AIdro_ltP9SRTeKqCzqKTD0Zw57PMBxUK44Hb3AikGY-IEAu0yDd=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mariamoura4347,UCGu3wxvfFA8neEiIclb05jQ,Primeiro,2020-10-16 21:00:38+00:00,2020-10-16T21:00:38Z,2,none,True,False,,0.1964644640684127,0.5717378854751587,0.2317976951599121,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:14,14.0
jRsOLYTlcU4,Ugy8qVzAfMNY-DTw5vJ4AaABAg,@dedetube1342,https://yt3.ggpht.com/exxg_-BU3uipjpDvryDpxnyWg6loEPbb17QxqGYWzUynjV_w54n7oV9GT36w4yNGAGCP2ssPddk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dedetube1342,UCVwD7sifROYU8YyOPpZrOeA,"*⚠ATENÇÃO⚠ AS PRIMEIRAS 350 PESSOAS CURTIREM ESSE COMENTÁRIO TERÁ UMA ÓTIMA NOTÍCIA AMANHÃ*



*TAMBÉM GRAVO 📷✌ SE PUDER DAR UMA PASSADA LÁ EU AGRADEÇO*",2020-10-16 21:00:41+00:00,2020-10-16T21:00:41Z,6,none,True,False,,0.1429687589406967,0.7938964366912842,0.0631347522139549,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:03,3.0
jRsOLYTlcU4,UgzzmM9KMjehn4vgiu54AaABAg,@dedetube1342,https://yt3.ggpht.com/exxg_-BU3uipjpDvryDpxnyWg6loEPbb17QxqGYWzUynjV_w54n7oV9GT36w4yNGAGCP2ssPddk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@dedetube1342,UCVwD7sifROYU8YyOPpZrOeA,"*⚠ATENÇÃO⚠ AS PRIMEIRAS 350 PESSOAS CURTIREM ESSE COMENTÁRIO TERÁ UMA ÓTIMA NOTÍCIA AMANHÃ*



*TAMBÉM GRAVO 📷✌ SE PUDER DAR UMA PASSADA LÁ EU AGRADEÇO*",2020-10-16 21:00:45+00:00,2020-10-16T21:00:45Z,27,none,True,False,,0.1429687589406967,0.7938964366912842,0.0631347522139549,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:04,4.0
jRsOLYTlcU4,UgzWE5Dp_qZcQNIlF5t4AaABAg,@th3y452,https://yt3.ggpht.com/z9tMTU3NE0JmAjf_3CHuCAjzOoGaf8UqtHuK2Fpv1R0J5ZBJ8iGPqhCjmpUJnaax4I_QPpefRA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@th3y452,UC1KCu0v0gdjODg8YusbnyHQ,Primeiro a comentar 😀,2020-10-16 21:00:53+00:00,2020-10-16T21:00:53Z,12,none,True,False,,0.0045621478930115,0.2768126130104065,0.7186252474784851,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:08,8.0
jRsOLYTlcU4,UgzIGnQ8fXyBkbB0qdN4AaABAg,@detudoumpouco8099,https://yt3.ggpht.com/ytc/AIdro_mOs_iT28ywNjo5HtiHsZ1Q4NNO6kuE7sD81vNtvstTGg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@detudoumpouco8099,UCYE7MVXR1m-jdrr2ZTTQGzw,Fshsjsjsk,2020-10-16 21:00:58+00:00,2020-10-16T21:00:58Z,3,none,True,False,,0.2371218502521515,0.6547438502311707,0.1081343665719032,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:05,5.0
jRsOLYTlcU4,UgyP4CosiO-NBDYjLYV4AaABAg,@naoolheminhafotodeperfil1171,https://yt3.ggpht.com/ytc/AIdro_lJI_fTgLAs3E5g4w-xpLERV4YY4PFX0U_u2WxSUlc0KA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@naoolheminhafotodeperfil1171,UCrTIT-vYuRPYoNE3geEFENg,"Vim do futuro pra dizer AME SUA MÃE nossa coisa mais preciosa



So Não Ler Meu Nome ok",2020-10-16 21:00:59+00:00,2020-10-16T21:00:59Z,4,none,True,False,,0.0888876691460609,0.8165633678436279,0.0945488885045051,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:01,1.0
jRsOLYTlcU4,UgySOWNsg4sNeZEMhFZ4AaABAg,@srlord6583,https://yt3.ggpht.com/ytc/AIdro_kP1NOzSxZcTXIPl83nvncC7V2V_QtU0lRcvUlMWmSpRVs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@srlord6583,UCV3pMz9SMNvP2pE9M_DSnZA,Te amo Zé meu YouTuber favorito,2020-10-16 21:01:10+00:00,2020-10-16T21:01:10Z,2,none,True,False,,0.0263230130076408,0.8126727342605591,0.1610042303800583,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:11,11.0
jRsOLYTlcU4,UgwYPv4v3teKjAUgHL54AaABAg,@jukifofisbg424,https://yt3.ggpht.com/ytc/AIdro_lGgroZqO-SrANM3wmGITNVwXBgSKe4UAaTU2cOBFy1uGU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jukifofisbg424,UCwP0B4FQHMpEJNHToIeKhdg,Authentic jogue blockman go pfv,2020-10-16 21:01:34+00:00,2020-10-16T21:01:34Z,4,none,True,False,,0.051799114793539,0.8533658981323242,0.094834953546524,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:24,24.0
jRsOLYTlcU4,UgzOlMmk2tCIHqDxXGx4AaABAg.9EtIwq4Wc4B9EtJ6kAvAce,@matheus756,https://yt3.ggpht.com/ytc/AIdro_nSJAHRroX76yQW5ezi4fMtRLrUsGNVf08JvmH_SnDNU9NFB_WfBwS0tezeJxAKUUlBoA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@matheus756,UCLkv7IaIOptv6Nhv1de5hyA,Bele,2020-10-16 21:01:53+00:00,2020-10-16T21:01:53Z,4,none,True,True,UgzOlMmk2tCIHqDxXGx4AaABAg,,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:19,19.0
