video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,roberta-neg,roberta-neu,roberta-pos,channel_id,inter-arrival-time,inter-arrival-time-seconds
pTygHZrMZHE,UgzKqOYQluArnHbEKKV4AaABAg,,https://yt3.ggpht.com/gBVSTDpSBjjdVfLB16340DiSgcWq_vbsSyrr__ZeYrDrI7oUtVzAnRYAseD6IdJXveHNsWJc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/c/AntonioAlvesLouvorAdora%C3%A7%C3%A3o,UCr3jt5mleZaHkPd8hFZ5_9A,Isso é realmente útil obgda,2023-10-11 15:04:32+00:00,2023-10-11T15:04:32Z,4,none,True,False,,0.1058894470334053,0.8251807689666748,0.068929798901081,UCIPA6iWNaoetaa1T46RkzXw,,
pTygHZrMZHE,UgxB2GpJqEtifigfoaN4AaABAg,@alexgameplay3207,https://yt3.ggpht.com/KfD_0AgIWzBx3rcnJNg0P1_WXlKl8-t2-0JLYf4NlkVCnLJo_kU-ZSGNABHA-_inbA2__niEYA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@alexgameplay3207,UCadk-FC0yfgA9B1FXDoTBtg,Salve authentic sou seu fã desde  2015,2023-10-11 15:06:33+00:00,2023-10-11T15:06:33Z,4,none,True,False,,0.0833088085055351,0.8405386209487915,0.0761525705456733,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:02:01,121.0
pTygHZrMZHE,UgxGaibBXadFiZ6jQIR4AaABAg,@MALiguino,https://yt3.ggpht.com/xTjB-eTQRXQhNXdSqlL4WKomyZjoF5VwZnXS8FofzO8JTa5ZB70y1zG644nmkzVz86_j_H5K5w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@MALiguino,UCDSVOKSrcGcBf5GjToDsQYg,bolsonarista,2023-10-11 15:10:50+00:00,2023-10-11T15:10:50Z,4,none,True,False,,0.1632231026887893,0.6732572913169861,0.1635195612907409,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:04:17,257.0
pTygHZrMZHE,UgxGaibBXadFiZ6jQIR4AaABAg.9vjLPKKz9zx9vjLjFyocFt,@CLEBINH0,https://yt3.ggpht.com/ytc/AIdro_laSrg0AV1rGyJkljFWfrWB9DUHGsfpj-hCNSSHOYbXlxE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@CLEBINH0,UCElRvRGr8beeAQW-Q4x0Kbg,oxi kkkkkkk,2023-10-11 15:13:42+00:00,2023-10-11T15:13:42Z,2,none,True,True,UgxGaibBXadFiZ6jQIR4AaABAg,,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:02:52,172.0
pTygHZrMZHE,UgzweLqXyl5rlExtmoF4AaABAg,@davidpinto613,https://yt3.ggpht.com/ytc/AIdro_mvvLzcPF4wUppsNH85AvIzu-yMlF0qM9H5D8Y1bmw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@davidpinto613,UCFVjkUQM0ftOlPTik-ECd5A,Finalmente uma utilidade para o cobre!,2023-10-11 15:14:58+00:00,2023-10-11T15:14:58Z,3,none,True,False,,0.029958888888359,0.6975545287132263,0.2724865078926086,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:01:16,76.0
pTygHZrMZHE,UgxGaibBXadFiZ6jQIR4AaABAg.9vjLPKKz9zx9vjMSaRtHto,@toshinosvideos5314,https://yt3.ggpht.com/HnCWhlFMirKl8CXeBNELEyGXhvnG0f0cnVr6TBhU-8bAfufDSSfYz-wya_QWvrmOjhkjXqiu=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@toshinosvideos5314,UCX6P_EzTSadVfTs8Zr6NWwA,Ainda nisso? Kk,2023-10-11 15:20:02+00:00,2023-10-11T15:20:02Z,1,none,True,True,UgxGaibBXadFiZ6jQIR4AaABAg,,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:05:04,304.0
pTygHZrMZHE,UgzrIqnOjKHZC7VX40t4AaABAg,@araozin12edits,https://yt3.ggpht.com/_kAJdji0yVrLtfQRzJhCetOASBJqqpKcOVr285VI4I2FmIzmKvylDhtc1qjhN8puiLWlOtOKWA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@araozin12edits,UCzWt1yVUJ_F8hw5xBYiArog,Authentic duvido tu dar coração,2023-10-11 15:23:20+00:00,2023-10-11T15:23:20Z,1,none,True,False,,0.1115118265151977,0.8114719986915588,0.0770161598920822,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:03:18,198.0
pTygHZrMZHE,UgxGaibBXadFiZ6jQIR4AaABAg.9vjLPKKz9zx9vjN6dYg5AK,@namykazeplayyy,https://yt3.ggpht.com/j_4xwFR0lznpCbDPYvwhd-0riW0c1cx7-AQ23fy5NNL6pGLUC6I_0MbohTKMYb-vkj7XHnhRPaw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@namykazeplayyy,UCPpnH7YCA1UJcS4KgJD_IPg,Pelo menos ele tem chance em chegar em Jerusalém... menos vc :/,2023-10-11 15:25:46+00:00,2023-10-11T15:25:46Z,1,none,True,True,UgxGaibBXadFiZ6jQIR4AaABAg,,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:02:26,146.0
pTygHZrMZHE,UgxoQFSwHnU428XhBAx4AaABAg,@eu_koan,https://yt3.ggpht.com/xhwhQ5D3U_873qJ4ZSGdcMTLq76BrVIvD3Yb_lUSupb4G0tqvRlieCoQh1YUVDBHuN3haOlEBsk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@eu_koan,UCF0jDBuN6n97uGhdpvq0waQ,"Útil Demais TT.
Posso gravar um vídeo falando dessas utilidades também? 😮
Obviamente vou deixar créditos nos comentários!",2023-10-11 15:54:04+00:00,2023-10-11T15:54:04Z,7,none,True,False,,0.2749485075473785,0.6176186800003052,0.1074328646063804,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:28:18,1698.0
pTygHZrMZHE,UgzRrP-mNO5OAFm8euN4AaABAg,@fifiuxd1001,https://yt3.ggpht.com/l1uwA1U6iZNdQFlEf7sWW-pI43rlje26EqZhLEjKSNJ5PbqDnD6cPIB1VnVGvp8Ir19-lWebCaE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@fifiuxd1001,UCv6jBLg-RFzzblSVOFRaqnA,Authentic faz mais video de blox fruits pfv,2023-10-11 16:15:51+00:00,2023-10-11T16:15:51Z,3,none,True,False,,0.045492984354496,0.8601905107498169,0.0943165048956871,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:21:47,1307.0
