video_id,comment_id,author,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,author_profile_image_url,channel_id,inter-arrival-time,inter-arrival-time-seconds
I7CjwKkWZjI,UgwsXHjQJXoHAhQrthx4AaABAg,@Nevadinho,http://www.youtube.com/@Nevadinho,UCceKqD6x3oXEBNFnIM7epLA,Primeiro,2024-02-20 21:01:24+00:00,2024-02-20T21:01:24Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,,
I7CjwKkWZjI,Ugyc144XU0djlMt8Otd4AaABAg,@Fãdobisteconeaham,http://www.youtube.com/@F%C3%A3dobisteconeaham,UC81IP5DKKiUM9tTksbgb-ag,F autentic faliu:/,2024-02-20 21:04:45+00:00,2024-02-20T21:04:45Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:03:21,201.0
I7CjwKkWZjI,UgztvNxXtjDY_fXRy6p4AaABAg,@oimeuchapa4500,http://www.youtube.com/@oimeuchapa4500,UC5k42mTUVi0qRJaTR64xf9g,👑🐐,2024-02-20 21:07:42+00:00,2024-02-20T21:07:42Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:02:57,177.0
I7CjwKkWZjI,UgwsXHjQJXoHAhQrthx4AaABAg.A02rSNJ7A0mA02sFuVymWR,@cristopher3428,http://www.youtube.com/@cristopher3428,UC0g1iyngWVMb2GNDWp_gRPw,N foi tu n foi o user,2024-02-20 21:08:27+00:00,2024-02-20T21:08:27Z,0,none,True,True,UgwsXHjQJXoHAhQrthx4AaABAg,https://yt3.ggpht.com/RbXbDm337X51-KCyLrbjf1oRnUBM98J4CHEXw95S18Hels6WAWanweykbFtN2gSxrTPC7pN8Wg=s48-c-k-c0x00ffffff-no-rj,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:45,45.0
I7CjwKkWZjI,UgwKc-4dDtlh0dyN3Ol4AaABAg,@LUANGAMESYT2.0,http://www.youtube.com/@LUANGAMESYT2.0,UClseP2w94I4u-00aQNmHsIw,👍,2024-02-20 21:10:13+00:00,2024-02-20T21:10:13Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:01:46,106.0
I7CjwKkWZjI,UgwemDmjW-T3b8wgMP14AaABAg,@joaomaiaaraujoJK,http://www.youtube.com/@joaomaiaaraujoJK,UCpBxLnY6pxYt9FNceu4YvGg,Essa eu nunca parei pra notar. ❤,2024-02-20 21:11:04+00:00,2024-02-20T21:11:18Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:51,51.0
I7CjwKkWZjI,Ugyc144XU0djlMt8Otd4AaABAg.A02rptbjl7bA02sadN2epL,@cassiojunior9972,http://www.youtube.com/@cassiojunior9972,UCqgA2C1Ph017BAA6uezIy8Q,Vídeo lançou tem 10 minutos,2024-02-20 21:11:24+00:00,2024-02-20T21:11:24Z,1,none,True,True,Ugyc144XU0djlMt8Otd4AaABAg,https://yt3.ggpht.com/ytc/AIdro_m5pjh2zzZ4aCBMkBMYIgKG97lT1MpMq67oWG-6rjT8daE=s48-c-k-c0x00ffffff-no-rj,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:20,20.0
I7CjwKkWZjI,UgwRA_KfXoOREs3LNJh4AaABAg,@Luiz_Felipe..,http://www.youtube.com/@Luiz_Felipe..,UCsutGf_PuHmG-PN4NPqmu9g,Disso eu nao sabia,2024-02-20 21:11:38+00:00,2024-02-20T21:11:38Z,1,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:14,14.0
I7CjwKkWZjI,UgyO1DSFK5CaYBchKfR4AaABAg,@User7-k1c,http://www.youtube.com/@User7-k1c,UCvwH1AdJtVwj7LYqyAImG-A,"Nossa mano, que saudades desse cara, faz tempo que eu não te assisto, ele era meu youtuber preferido",2024-02-20 21:16:55+00:00,2024-02-20T21:16:55Z,3,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:05:17,317.0
I7CjwKkWZjI,Ugx_i4VCJ040yE90-MB4AaABAg,@vinii_.s,http://www.youtube.com/@vinii_.s,UCIxeQW8lDvmWr1vme9LM07A,"Salve authentic, tudo de bom pra voce ❤❤",2024-02-20 21:17:25+00:00,2024-02-20T21:17:25Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:30,30.0
I7CjwKkWZjI,UgwckpekroVSoCj3hox4AaABAg,@JackpotLucky-g5r,http://www.youtube.com/@JackpotLucky-g5r,UCdV9lOeVXFPtOEWf_PSyLsw,saudades,2024-02-20 21:17:41+00:00,2024-02-20T21:17:41Z,1,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:16,16.0
I7CjwKkWZjI,Ugyniiw9WsP4aRjg3EJ4AaABAg,@Fontanivalsf,http://www.youtube.com/@Fontanivalsf,UC_Qv4FHjJ7yRwFTPrubYkCQ,Que pena que ele faliu 😢,2024-02-20 21:17:58+00:00,2024-02-20T21:17:58Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:17,17.0
I7CjwKkWZjI,UgwinSeVmDlYXMVF9bR4AaABAg,@el_pato111,http://www.youtube.com/@el_pato111,UCcgb45jx0PrUO_m3NZeEG7Q,Melhor YouTuber Salve Authentic 💛,2024-02-20 21:19:09+00:00,2024-02-20T21:19:33Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:01:11,71.0
I7CjwKkWZjI,Ugy0rIng5O6H7s0ch3d4AaABAg,@dattebayo6982,http://www.youtube.com/@dattebayo6982,UCC0-oIKVgGP3Mb1iYHHnESA,Saudades,2024-02-20 21:19:23+00:00,2024-02-20T21:19:23Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:14,14.0
I7CjwKkWZjI,Ugwx_pL4XtFRlVTBjkV4AaABAg,@JP.aratassauro,http://www.youtube.com/@JP.aratassauro,UCl1GZt3YnM2yAx006i8zFeg,Saudades dos vídeos antigos 😢,2024-02-20 21:20:15+00:00,2024-02-20T21:20:15Z,13,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:52,52.0
I7CjwKkWZjI,UgwhyTlFc_ii5lpkiEZ4AaABAg,@Lukksz157,http://www.youtube.com/@Lukksz157,UCxJVZ4x0TmvqLE0HbhWXcTQ,Saudade,2024-02-20 21:20:32+00:00,2024-02-20T21:20:32Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:17,17.0
I7CjwKkWZjI,UgyprCOuKXNzK290zU14AaABAg,@grilofalante1232,http://www.youtube.com/@grilofalante1232,UCycJiTh1M70pZjEmbIosF6g,Mn sou muito seu fa,2024-02-20 21:20:51+00:00,2024-02-20T21:20:51Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:19,19.0
I7CjwKkWZjI,UgxgG09F9I2gTX3tOpN4AaABAg,@ezy_z,http://www.youtube.com/@ezy_z,UCA-KrSBWJEhbUSCBIHoK91Q,Saudades dos seus videos de 2017...,2024-02-20 21:21:41+00:00,2024-02-20T21:21:41Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:50,50.0
I7CjwKkWZjI,UgwfyPyhlxSwacfcb-Z4AaABAg,@KLSeyRandom,http://www.youtube.com/@KLSeyRandom,UC7xsH3O7BNOzKQH5sLrim9A,Eu n sabia q as cores era raridade😅 obg por mostra isso^^,2024-02-20 21:28:23+00:00,2024-02-20T21:28:23Z,204,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:06:42,402.0
I7CjwKkWZjI,Ugyrkjpma75fQePeg_h4AaABAg,@yyangustavo1447,http://www.youtube.com/@yyangustavo1447,UC3rXf9XARrK7zr9VNxsqR7A,Muito interessante!!!,2024-02-20 21:29:36+00:00,2024-02-20T21:29:36Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:01:13,73.0
I7CjwKkWZjI,UgxjKKhNm4aQghrhuFh4AaABAg,@noobnocontroletm3473,http://www.youtube.com/@noobnocontroletm3473,UCFJIZ5w570CPRb0StJ6INLw,"Nossa, disso eu n sabia",2024-02-20 21:30:26+00:00,2024-02-20T21:30:26Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:00:50,50.0
I7CjwKkWZjI,UgyANqlqaEG2yrKYti14AaABAg,@realuse26,http://www.youtube.com/@realuse26,UCWv0hIyjCUV-pCRohDTGE5g,Manda salve 🥺,2024-02-20 21:47:04+00:00,2024-02-20T21:47:04Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:16:38,998.0
I7CjwKkWZjI,UgwX7IcSlhbS3oRKP1d4AaABAg,@Ni_star41,http://www.youtube.com/@Ni_star41,UCQlHaGw9UABXFeARLhUVnZw,"Vlw tt, não sabia disso",2024-02-20 22:13:50+00:00,2024-02-20T22:13:50Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:26:46,1606.0
I7CjwKkWZjI,UgyY4ti9HXGEWmlBR0l4AaABAg,@Shockwaves9,http://www.youtube.com/@Shockwaves9,UCTTidz3uAo_8VRLWsWlYbJA,"Não achei que você voltaria, me encheu de felicidade quando eu era menor vendo seus vídeos 😊",2024-02-20 22:20:59+00:00,2024-02-20T22:20:59Z,5,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:07:09,429.0
I7CjwKkWZjI,UgzsaUTiyfgjFrR8_DF4AaABAg,@Zanel20,http://www.youtube.com/@Zanel20,UCtCpJMVWrFt8BIPeDHNoPhg,😊😊😊,2024-02-20 22:51:16+00:00,2024-02-20T22:51:16Z,0,none,True,False,,,UCIPA6iWNaoetaa1T46RkzXw,0 days 00:30:17,1817.0
I7CjwKkWZjI,UgwsXHjQJXoHAhQrthx4AaABAg.A02rSNJ7A0mA03BJG09_ZF,@Nevadinho,http://www.youtube.com/@Nevadinho,UCceKqD6x3oXEBNFnIM7epLA,@@cristopher3428 na vdd estou olhando aqui e só eu tenho 3 horas de postado,2024-02-21 00:03:39+00:00,2024-06-18T03:20:52Z,0,none,True,True,UgwsXHjQJXoHAhQrthx4AaABAg,https://yt3.ggpht.com/za8W2n_mciLyn6ngtU_e0OSoNe3_-JIMCX8tSDY7GyXT3H9qK18EcNRgdi3zHom9uKIZBLpjdpA=s48-c-k-c0x00ffffff-no-rj,UCIPA6iWNaoetaa1T46RkzXw,0 days 01:12:23,4343.0
