,video_id,video_length,proporcao_analise,video_comments,comments_authors_total,comments_roberta_proportion,video_length_seconds,video_comments_norm,comments_authors_total_norm,video_length_seconds_norm
0,42cq0vdBPJw,PT11M25S,0.8379620522004363,1137,825.0,2.5306122448979593,685,0.15083648138154343,0.14594205506568292,0.3136781053649106
1,PXHlV3g4lpg,PT53S,0.4450246190591084,304,210.0,3.392857142857143,53,0.038451160280626014,0.03527082958430808,0.008216529724504592
2,TtkS-Rv2CqI,PT10M53S,0.8055290712008648,786,512.0,2.125,653,0.10348084187803562,0.0896166996580889,0.29821169647172546
3,IqqirbwI8r8,PT9M7S,0.7880795278498892,875,503.0,1.4375,547,0.11548839719373989,0.08799712074860536,0.24697921701304976
4,6woXmR7pK5k,PT15M4S,0.6112021570693181,858,589.0,2.761904761904762,904,0.11319481921208852,0.10347309699478136,0.4195263412276462
5,YW43UqxxSUY,PT10M15S,0.849454351941738,800,535.0,2.4285714285714284,615,0.10536967080410146,0.09375562353788015,0.27984533591106814
6,WtweBiqQdCo,PT1M5S,0.9140627560562976,705,455.0,3.4444444444444446,65,0.09255261737722613,0.07935936656469318,0.014016433059449006
7,OlKzeFU1nag,PT12M7S,0.6506363842348883,505,311.0,1.6666666666666667,727,0.06556934700485699,0.05344610401295662,0.33397776703721604
8,hNSlzm0uEl4,PT11M42S,0.5955589804346592,1927,1348.0,2.6486486486486487,702,0.2574203993524015,0.24005758502789273,0.3218946350894152
9,3xwTp0_gjE8,PT8M12S,0.5820779107018106,545,377.0,4.2,492,0.07096600107933082,0.06532301601583589,0.22039632672788786
10,5xXOMkKLAQo,PT10M53S,0.7242015094927544,849,519.0,3.909090909090909,653,0.11198057204533189,0.09087637214324276,0.29821169647172546
11,T8iEDDtpByI,PT10M17S,0.6248548283451478,873,565.0,5.7272727272727275,617,0.11521856449001619,0.09915421990282526,0.2808119864668922
12,4YGj1H2tC0U,PT9M16S,0.5823127117332558,1125,745.0,0.7708333333333334,556,0.14921748515920127,0.13154579809249595,0.2513291445142581
13,iCK1zjImWn4,PT8M14S,0.9375427486398061,825,546.0,2.2857142857142856,494,0.10874257960064761,0.09573510887169336,0.22136297728371193
