video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,roberta-neg,roberta-neu,roberta-pos,channel_id
ch5zVHltEHg,UgwduQ9cY8NQiNxC_Pd4AaABAg,@EmillyGabriele-i3z,https://yt3.ggpht.com/ytc/AIdro_mRLHDd8NjgcJzYOjfocI0lyyr-4xsFWa2Rk1N3X8UlnC_JG2KQE1IaoSm4cR9C7ymAZA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@EmillyGabriele-i3z,UCqFy5rcDkWidfBnxMXiUAWg,MALUCO,2025-01-15T22:09:18Z,2025-01-15T22:09:18Z,0,none,True,False,,0.23121808469295502,0.5630186796188354,0.20576322078704834,UC2bYhAHyaqfWlPXWBVk4BcA
ch5zVHltEHg,UgwC__nWsKsZAi2tND54AaABAg,@JosimarDeOliveira-v1y,https://yt3.ggpht.com/VjW0iVPQQCdB9m0aO0-P3CaL_e1hvNoR3vEz9V5w2Ii9O0KOmi3ghJAamIvrq4n0sZfu9cabna0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@JosimarDeOliveira-v1y,UCyvH60s_IERnWFWyPAz_6Sw,E Naldinho gosto muito de Minecraft,2024-12-25T21:39:09Z,2024-12-25T21:39:09Z,0,none,True,False,,0.02848825603723526,0.7952916026115417,0.17622010409832,UC2bYhAHyaqfWlPXWBVk4BcA
ch5zVHltEHg,UgwuVROzMtZnt9eLHjR4AaABAg,@joaoazzalinoliveira1069,https://yt3.ggpht.com/ytc/AIdro_muvO5vl1um1M_xdd4m0IYCf3LC_azXFrGQer2JrBo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@joaoazzalinoliveira1069,UCdOYvwZgSxU6hCt3y1VfO3Q,😊,2024-12-14T22:21:54Z,2024-12-14T22:21:54Z,1,none,True,False,,0.007670246530324221,0.1686205267906189,0.82370924949646,UC2bYhAHyaqfWlPXWBVk4BcA
ch5zVHltEHg,Ugx1LjWFkVaGS2bdzTB4AaABAg,@juniorfavacho2161,https://yt3.ggpht.com/ig10Ff_l7sAYr05BjQXax54mYfHRJ3G7h_zisEJQv1VtH5pPmstl1akPSRRmDnucVh693ybfAw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@juniorfavacho2161,UCmmw9s5E_HDDUT7VX-S6uBA,"(\_/)
(*_*)
\=🤟",2024-12-12T01:41:24Z,2024-12-12T01:41:24Z,0,none,True,False,,0.12276284396648407,0.808600902557373,0.06863626092672348,UC2bYhAHyaqfWlPXWBVk4BcA
ch5zVHltEHg,UgwFrucbeL-TCsik5Ld4AaABAg,@carleanerodrigues1211,https://yt3.ggpht.com/ytc/AIdro_kaAHI5LCGdHRsXK1w0QLxn9NoTJRGMcu1hILE7fxkZZ-s=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@carleanerodrigues1211,UC6AI8eHsp8QVPyNXkIuo2LA,Aí Ronaldinho quando você for fazer um show aqui calçoene avisa nos vídeos tá,2024-11-24T16:53:12Z,2024-11-24T16:53:12Z,0,none,True,False,,0.04926890879869461,0.8916576504707336,0.059073418378829956,UC2bYhAHyaqfWlPXWBVk4BcA
ch5zVHltEHg,Ugy7HNXZCa2NOhg19Xh4AaABAg,@carleanerodrigues1211,https://yt3.ggpht.com/ytc/AIdro_kaAHI5LCGdHRsXK1w0QLxn9NoTJRGMcu1hILE7fxkZZ-s=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@carleanerodrigues1211,UC6AI8eHsp8QVPyNXkIuo2LA,Enaldinho por favor faz um show aqui em Cachoeirinha se faz parte de Brasil ele é um município,2024-11-24T16:51:43Z,2024-11-24T16:51:43Z,0,none,True,False,,0.041019488126039505,0.8924483060836792,0.0665321797132492,UC2bYhAHyaqfWlPXWBVk4BcA
ch5zVHltEHg,UgwKjIZ3OQ-Loso3ksd4AaABAg,@cristinasilva1662,https://yt3.ggpht.com/ytc/AIdro_lt8Tzywge5ULQDg0itbID7DlHFi1e3-_nTGebtXg7F034=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cristinasilva1662,UCxH9Fyik0qmFr4FHJn85Qvw,A floresta ta queimando la atras verdade😢,2024-11-10T20:10:40Z,2024-11-10T20:10:40Z,0,none,True,False,,0.651928722858429,0.32746535539627075,0.020605893805623055,UC2bYhAHyaqfWlPXWBVk4BcA
ch5zVHltEHg,UgybtV2YPHPT6_w3YJh4AaABAg,@cristianmolea3277,https://yt3.ggpht.com/ytc/AIdro_lNZex22rJojResuNiTN2LUTbIvqtQ6QQLqyCTgFdI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cristianmolea3277,UCm2J6SuFwnWIkljAf8Hy4jw,"Ppougcbmgnfgnl k, mas hmh não dá HJ hfjjj",2024-10-19T09:33:12Z,2024-10-19T09:33:12Z,0,none,True,False,,0.14279796183109283,0.8104203343391418,0.04678178206086159,UC2bYhAHyaqfWlPXWBVk4BcA
ch5zVHltEHg,UgwaWggfzcl6faSTBYN4AaABAg,@fabiopimentelkaiser2024,https://yt3.ggpht.com/ytc/AIdro_kVIm3XWVNiHsdSdZCqSXBrqcAU9eOECo0iO6LevBpx2b8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@fabiopimentelkaiser2024,UCyueMPRXeqh2IBfgEWMpgig,Pp eu sou teu fã eu quero ver a batida desse vídeo,2024-10-01T17:51:53Z,2024-10-01T17:51:53Z,0,none,True,False,,0.07566877454519272,0.8411948084831238,0.08313651382923126,UC2bYhAHyaqfWlPXWBVk4BcA
ch5zVHltEHg,UgyGYWNtmwOutA2QugF4AaABAg,@MariadoRosáriodaSilvaSouza,https://yt3.ggpht.com/ytc/AIdro_mzwk73fmnfDwFs4aca8l6kkQx6GyTAVAtENSyHlH_Zex_oOyaCVbcQl_w7mzDMX7MLRg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@MariadoRos%C3%A1riodaSilvaSouza,UCFIkVEADGeJdIlcKETfs0lQ,Casa de pedra feia,2024-09-21T14:18:57Z,2024-09-21T14:18:57Z,0,none,True,False,,0.14674052596092224,0.750686764717102,0.10257277637720108,UC2bYhAHyaqfWlPXWBVk4BcA
