comments_total,authors_total,comments_mean_day,comments_avg_day,comments_median_day,comments_max_day
51,47,0.14366197183098592,1.5637789585414212,0.0,29
28,25,0.04778156996587031,0.5074860379384721,0.0,11
720,541,1.234991423670669,5.013179567178754,0.0,91
209,183,0.5442708333333334,5.469413502582158,0.0,101
111,90,0.21428571428571427,2.5761945026533852,0.0,47
291,271,0.6945107398568019,6.757044414666396,0.0,128
86,62,0.19369369369369369,1.9551069563338626,0.0,40
118,107,0.19932432432432431,1.0426438230165993,0.0,8
208,167,0.6190476190476191,4.915779677378923,0.0,65
154,130,0.25925925925925924,1.4284946935501608,0.0,32
404,323,0.8145161290322581,6.139610668384054,0.0,126
304,276,1.1385767790262171,9.653756263595138,0.0,149
177,132,0.30204778156996587,1.4649976183068159,0.0,24
504,438,0.8704663212435233,6.9423335244618745,0.0,138
415,382,0.7358156028368794,7.171291260222183,0.0,163
190,177,0.3327495621716287,3.5523102399255095,0.0,82
189,155,0.3467889908256881,4.161592791248645,0.0,90
42,39,0.08624229979466119,0.9962665114045239,0.0,21
160,118,1.1428571428571428,7.561328561815891,0.0,87
241,189,0.41986062717770034,1.3432096623186578,0.0,25
304,256,0.5342706502636204,5.345720567366569,0.0,111
225,181,0.3954305799648506,3.806968249493916,0.0,83
80,64,0.1478743068391867,1.2795905417524551,0.0,27
