video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,roberta-neg,roberta-neu,roberta-pos,channel_id
CoyoSk2bgTY,Ugwrjhy_fBs6HU5aqf54AaABAg,@PedroHenrique-nq6kx,https://yt3.ggpht.com/WtXpoFjYlceD9JXnHXY23JAGJLm7639MIB4v-On03Mklwe2AJP4pD78HBVLfNHc6uOhy_jlYQA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@PedroHenrique-nq6kx,UCu5P7ny49yejjRSlnNcm7BA,mano to acompanhando toda a seri eu to amando muito bom,2024-10-30T15:20:04Z,2024-10-30T15:20:04Z,0,none,True,False,,0.08825031667947769,0.8175938725471497,0.09415582567453384,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,Ugxyv39pFestyrFBNj14AaABAg,@ginkaakabane9431,https://yt3.ggpht.com/5HemVM77_umt1vqVVw4PMNPTVHVPl8co0N6VJogz0U5szfUpozDFW8ir6FijgHbVb4-JtA5vwg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ginkaakabane9431,UCB18pGFmMCMibRbhtjyvKJg,cheats ksksksks,2022-07-18T20:14:11Z,2022-07-18T20:14:11Z,0,none,True,False,,0.5053051710128784,0.4448228180408478,0.04987196996808052,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,Ugzs8VgPAzBniNFV4iR4AaABAg,@samircabral5363,https://yt3.ggpht.com/ytc/AIdro_kQmoKU8jutFWahUO7_VzxGZDtZUKEyDA85aZRpQ-gUz-JKqbFVN4C9rKZwBSJ3zld_cg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@samircabral5363,UCKgjTsbG1ScBuP9A48lR7GA,"voando no dragon, nu dragon, voando num dragooonn",2022-05-07T20:53:26Z,2022-05-07T20:53:26Z,0,none,True,False,,0.12805378437042236,0.8225492238998413,0.049396954476833344,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgzWq1-TLpLRrgHZE0h4AaABAg,@kethcollins9414,https://yt3.ggpht.com/ytc/AIdro_mVgtSprJ_HrTkliyn7mJZpuT748XEvRn-x_miSz0IdrEQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@kethcollins9414,UCF-GO2fmg3ImYg1YFkWjnYg,Authentic Games você vai ter um milhão de inscritos e e você e você na no Episódio dragões na série em um você enfrentando um monte de cachorros do mal que é lobisomem lobisomem Alfa,2022-04-10T22:36:30Z,2022-04-10T22:36:30Z,0,none,True,False,,0.08665187656879425,0.8708187341690063,0.042529329657554626,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgzEzJ5kTJj7t4DVYjx4AaABAg,@cadusemk2571,https://yt3.ggpht.com/tBnwkMQXAOv6549O1MF5pef5BmWdrv3nwqhMgMC4W2BB5ORqi4dbyqTi11ru4SRWbmw-r5G_uA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cadusemk2571,UC6LSD4Nzw0x8qZp05Sl2uKw,Não não NÃO  seu objetivo na serie e matar o dragão mais forte nem vem com essa de doméstica os dragão vcs tem até que crescer os dragões dando carne pra eles,2021-12-16T19:17:14Z,2021-12-16T19:17:14Z,0,none,True,False,,0.12063103914260864,0.8271231055259705,0.052245836704969406,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgxbLlB-KOim1hv-y114AaABAg,@mariamargaret2994,https://yt3.ggpht.com/ytc/AIdro_kexSU46w6cYLAw7n2skj-kjy6uv4tRLz7Q3K1rsh5kWb6z0DWyfRdUElppkPxsBgt36Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mariamargaret2994,UCDyWffb6HnLyh_M4w0w3cbQ,Oi,2021-10-20T13:23:21Z,2021-10-20T13:23:21Z,0,none,True,False,,0.2699635922908783,0.5393761396408081,0.190660297870636,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgwHti1o7B6g9YF2gaN4AaABAg,@semprequevoceleroscomentar7233,https://yt3.ggpht.com/SxefpTLWN9ENLL_OqdNd0Qgr5z-jfNe9OFO53h7U3aTGBXdhnvobIDjSt13eT5f4IS3dkjsX=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@semprequevoceleroscomentar7233,UCxHXVNiLhRJlvPB2GxDpYXw,Vc destruiu meu ovo,2021-09-07T03:48:03Z,2021-09-07T03:48:03Z,0,none,True,False,,0.1585143506526947,0.7371485233306885,0.10433705896139145,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgyO550tX1VL6DWPh7h4AaABAg,@rosierypereira8216,https://yt3.ggpht.com/ytc/AIdro_lepjHFCCPVlt1wfqBW--YW_k1l6TSBGcn7cfNc4aDapg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@rosierypereira8216,UCwSojmBYKzkIgwmdR9gHNvQ,sim authenticgames,2021-08-10T20:36:00Z,2021-08-10T20:36:00Z,0,none,True,False,,0.12746426463127136,0.7400805950164795,0.13245511054992676,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgwgsKJDQDTuRW8ZjCV4AaABAg,@mariajocilenenunesrodrigue336,https://yt3.ggpht.com/ytc/AIdro_meZQDvkVwIytlz05tUr4sKYRoxduo30MYm6fDWZDFwo5Dx5x44u4bpmQY2f_R4uW4yGQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mariajocilenenunesrodrigue336,UC0MBONQrsm_Twl4tLVZCmpw,Authentic ela dá para o coração dela que dá super generação,2021-08-06T22:51:23Z,2021-08-06T22:51:23Z,1,none,True,False,,0.07621551305055618,0.8376314043998718,0.08615302294492722,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,Ugx-K22HXmaO0HhboiZ4AaABAg,@thurauthentic1968,https://yt3.ggpht.com/6SdPd0aT3JkHdjI1dP02bEOzew6Pf7Hdk3YBvKuWb7A7uGsqbnwgqie2t6IcfBloMoyIcgM8CMg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@thurauthentic1968,UChhKheYw9PZpk7n3MPAKl2g,mostra os mod pack ou os mod,2021-07-20T01:36:47Z,2021-07-20T01:36:47Z,1,none,True,False,,0.10749656707048416,0.7977173328399658,0.09478604048490524,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgzI0EQN7-kUnMwL1HJ4AaABAg,@Natan-xd1mn,https://yt3.ggpht.com/ytc/AIdro_kSIcTCAT-cMsvTGmBeCKEdt5Jqj9xhSIHZqDxvrNY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Natan-xd1mn,UCx6x_faj-_r3dN5f3gEjOgg,Ovo e o flhash,2021-07-19T23:50:27Z,2021-07-19T23:50:27Z,0,none,True,False,,0.20404350757598877,0.6651484370231628,0.1308080554008484,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgyhvkFRlwgaYdqGRrx4AaABAg,@aventurasminecraft3410,https://yt3.ggpht.com/QyUOw2x8UvCwN-i-JmcSBK7z_3YuV-t9TJDDRtFIXA3QtkusqWALQUiB6ih4GG8pZ2f7TsD23zg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@aventurasminecraft3410,UC71emxTBVQRqH20OsDazXcw,"Eu vi o ovo do authentic no fundir do mar,só que ele não viu",2021-07-19T16:58:59Z,2021-07-19T16:58:59Z,1,none,True,False,,0.1390308290719986,0.7922873497009277,0.06868177652359009,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgzLJtyNoj3Tn4KZWAZ4AaABAg,@luciowsgamer4322,https://yt3.ggpht.com/ytc/AIdro_naupJm8F5BXxhdNVezJDauviqkrf53C-TY1mE3tkZ63g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@luciowsgamer4322,UC8dLvKB82QF22fZ4JKTl0tA,4:16 Melhor parte XDDD,2021-07-09T15:37:46Z,2021-07-09T15:37:46Z,0,none,True,False,,0.02107362076640129,0.8664214015007019,0.11250495165586472,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,Ugyf4yLxSlcLBy_MJ5B4AaABAg,@lutadorxgabriel4579,https://yt3.ggpht.com/wBL2oET1juKMaU6IrDdnBE2GitEog8-Sjgu-H2nbwPjKAGO6o0_yQn-5DsVco_6dE7xeWRmw8Uc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lutadorxgabriel4579,UCTwpk7flxrk16DvSBTPQ7Zw,Mais alguém percebeu que era uma fêmea,2021-06-11T19:56:01Z,2021-06-11T19:56:01Z,0,none,True,False,,0.13805347681045532,0.8053561449050903,0.05659036710858345,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgzOp7GuDd1B4Kgkntd4AaABAg,@fatimarosario6398,https://yt3.ggpht.com/ytc/AIdro_n1x1TxyL618vDgim5lDGBrvf2j_ydZuK4yaSmyywM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@fatimarosario6398,UC5rmO__WipO1b080tF0oWQQ,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😅😅😅😅😅😅😅😅,2021-06-09T20:30:42Z,2021-06-09T20:30:42Z,0,none,True,False,,0.34410524368286133,0.36852216720581055,0.2873725891113281,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,Ugxjp09RC06c9z9LEQ14AaABAg,@bryannogueira37,https://yt3.ggpht.com/ytc/AIdro_nuMnCnn3bDh-_p0b5WUfpozw8npvo842ruiDnZ5K8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@bryannogueira37,UCRCMPs2iRrdOh132HRAZRdw,"pegava o tragao de gelo pra vc vc que tem o poder de gelo
nossa",2021-05-19T23:25:53Z,2021-05-19T23:25:53Z,0,none,True,False,,0.0834212675690651,0.8378195762634277,0.07875920832157135,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,Ugxa4pcGb_90vUMSwDp4AaABAg,@joaoguilherme8296,https://yt3.ggpht.com/V2NruPeuXGOZHCoEWebmHgCSplR_7zwMLBx7op2HQ6rCbnUW7MlvsiUb314Y9KialNnA5L3qE_Y=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@joaoguilherme8296,UCiYywn-2bdEZBs0GdYPOS_Q,🦊🦊🐕‍🦺🐕‍🦺,2021-03-27T00:11:34Z,2021-03-27T00:11:34Z,0,none,True,False,,0.033267926424741745,0.7293084859848022,0.2374235987663269,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgwJ44qbMnYHQB4HFZ54AaABAg,@Melina-ui1tl,https://yt3.ggpht.com/vDXYyO4_prAjZr-YAPRnB0XetAxlzHsJrxCWYr2LJHn4MdLfFRzsbtWF0B6oysUpDqCB17t9=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Melina-ui1tl,UCcvpC2v6lmYloUm9qLLR-WA,ATHENTIC se vc olhar bem no momento 3:18 vc pode ver assa batendo no fundo,2021-03-10T13:51:53Z,2021-03-10T13:51:53Z,0,none,True,False,,0.047730952501297,0.8846415281295776,0.06762758642435074,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,Ugyb3pw5vsi_vNas-7V4AaABAg,@jonasboro9532,https://yt3.ggpht.com/ytc/AIdro_lAeEYPrGeXYKHQK88V15-Q0dyh3-bbOZrAcGTb_y7LrQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jonasboro9532,UCDIV-xxb1UY17ikSrl18tgg,episodeo passado rolo uma batalha,2021-03-03T22:53:35Z,2021-03-03T22:53:35Z,0,none,True,False,,0.13044723868370056,0.7808262705802917,0.08872644603252411,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgwgDBvFG2_kFUC05F94AaABAg,@yasminrodrigues3687,https://yt3.ggpht.com/ytc/AIdro_lik770o3Bgm8EW36WhkZkhQU8hwIGo12f-KlV5BqifjQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@yasminrodrigues3687,UCErEb179BQGzxdZN51L1XBw,👍🙏😍😅😎😘🤗🙄🎇,2021-03-02T17:20:54Z,2021-03-02T17:20:54Z,1,none,True,False,,0.0066675422713160515,0.18568798899650574,0.8076444268226624,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgxaeP0VIGhReBg4UG14AaABAg,@pedrodemitecardosodeolivei9933,https://yt3.ggpht.com/ytc/AIdro_mKjVDXgmqqC3YZ9ycGrnnW0TD555_8kxzJyE53NkMsoKc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@pedrodemitecardosodeolivei9933,UCyt4PvKlDDAx0rV9x2hjp7w,Gou gou dragão renjer,2020-12-29T17:38:27Z,2020-12-29T17:38:27Z,1,none,True,False,,0.12980367243289948,0.7790180444717407,0.09117824584245682,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,Ugy-aYkY9WJojNGnAcF4AaABAg,@FLEX20644,https://yt3.ggpht.com/3Vbvywjc8onqiEItL7CjTaQ-OOdFTJ49BfECdpLWY8ccqKk3ILJXQvP8PsaT3oDsSq6bQK6_gQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@FLEX20644,UCgTDYieCjgz1Aan-uB0mtyA,o video passado o dragao que eles nataram era verde era uma femea,2020-12-27T21:43:54Z,2020-12-27T21:43:54Z,0,none,True,False,,0.1073211282491684,0.81963711977005,0.07304175198078156,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgxOMfc3SfyxmGCkvnR4AaABAg,@lucianadasilva6320,https://yt3.ggpht.com/ytc/AIdro_k3YnuqFeHlpISNeauSoPMV3KWajOwWGaq8IzhWY9o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lucianadasilva6320,UC8nFTM1p5ptyF71nQz_FWsg,5:13,2020-11-12T22:45:13Z,2020-11-12T22:45:13Z,0,none,True,False,,0.17573261260986328,0.6077106595039368,0.21655678749084473,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgxjL4S5sjHj1xwF_y14AaABAg,@vasco_sempre,https://yt3.ggpht.com/ytc/AIdro_lAkzvhZEff5lmLuGj59Kp5msF9BCl9v0_OcOoXzvPvNwf6Gl-dhsBFuax-WBfAQX7LXA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@vasco_sempre,UCRMUah2l0psO1ykTt9Erkzw,Acho que e meio impossivel aparece  perola do end num bau de loot sabe o que significa mada pq o authentc pode usa criativo o quanto qui o video e dele,2020-10-29T19:11:48Z,2020-10-29T19:11:48Z,1,none,True,False,,0.1650347262620926,0.7881410717964172,0.046824194490909576,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,Ugw6R9HrMHmbkpbBw4t4AaABAg,@lucianadasilva6320,https://yt3.ggpht.com/ytc/AIdro_k3YnuqFeHlpISNeauSoPMV3KWajOwWGaq8IzhWY9o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lucianadasilva6320,UC8nFTM1p5ptyF71nQz_FWsg,5:13,2020-10-23T18:50:40Z,2020-10-23T18:50:40Z,0,none,True,False,,0.17573261260986328,0.6077106595039368,0.21655678749084473,UCIPA6iWNaoetaa1T46RkzXw
CoyoSk2bgTY,UgxFX6rijlX89W39oKd4AaABAg,@brunolopes206,https://yt3.ggpht.com/ytc/AIdro_l8Xt58T4hiGs-17SMLjr_xPOI4WwcC12KkRA6OMbWmlKo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@brunolopes206,UCQutrvYhXvPCGznMhZkgO_A,N tem dragao relampago,2020-10-19T19:45:38Z,2020-10-19T19:45:38Z,0,none,True,False,,0.13105106353759766,0.7574191689491272,0.11152974516153336,UCIPA6iWNaoetaa1T46RkzXw
