video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,roberta-neg,roberta-neu,roberta-pos,channel_id
drnDl3LccLs,UgzG5DTEIanG3NNZ-fF4AaABAg,@Lok3_Game,https://yt3.ggpht.com/PbcoNrKwjEp7eroxM7pUKmjD-CM83B0FvGJ-5CG6lDSjPD1xsTvt1cwOryoOeqmjmQXvqIWrhw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Lok3_Game,UC0aaH0GX00CV8Ewn4itU3kw,Alguém em 2024?,2024-08-25T01:09:10Z,2024-08-25T01:09:10Z,0,none,True,False,,0.05061933770775795,0.9032009243965149,0.04617976024746895,UCjBO43ykxlSs3j7F7EXcBUQ
drnDl3LccLs,UgxQz4C-XyxlJUn8Kr14AaABAg,@canaldoblesp8952,https://yt3.ggpht.com/ytc/AIdro_nhscvOETGpTHcU7PCSaIYMeIseMJgRD0jxKatd63zxxWo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@canaldoblesp8952,UC2MVs4TbFNoPvf_s5S0kN_Q,lágrimas saudades dessa época,2024-06-19T03:16:58Z,2024-06-19T03:16:58Z,0,none,True,False,,0.16336028277873993,0.7481008768081665,0.08853881061077118,UCjBO43ykxlSs3j7F7EXcBUQ
drnDl3LccLs,UgwaWJ98sZ3DtfhKG4l4AaABAg,@arthurlobato5440,https://yt3.ggpht.com/BkjmztSDTKcUvQxQswomK2ED8iNSDBo8DUDigN4MvuPpoKPgUPdN9-cbguxF8uGJ48v3-qizMQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@arthurlobato5440,UCU9ytncA8A5W2yk8URK-eYQ,Época boa essa,2023-12-06T03:38:17Z,2023-12-06T03:38:17Z,2,none,True,False,,0.17378456890583038,0.6943464279174805,0.13186901807785034,UCjBO43ykxlSs3j7F7EXcBUQ
drnDl3LccLs,UgwaWJ98sZ3DtfhKG4l4AaABAg.9xyIevOKe6MA40QoSgVzzC,@Vergil_Sparda_1976,https://yt3.ggpht.com/w7LE4QpXfqC46pIDUYRXfACw8JAFLw2YWu7cmC_SDMqVrl1gIVoKzdp4drrqRoIilApTO6bjcA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Vergil_Sparda_1976,UCkzgEdfExYsOg3SkifTlsog,Boa demais,2024-05-29T08:26:59Z,2024-05-29T08:26:59Z,0,none,True,True,UgwaWJ98sZ3DtfhKG4l4AaABAg,,,,UCjBO43ykxlSs3j7F7EXcBUQ
drnDl3LccLs,UgxNwnAgCA-FyYcdSed4AaABAg,@meg-ye6nn,https://yt3.ggpht.com/VqJLzN3rNbXzbP4nIv1T2t2YCwLfMWivmNk5enG6uyrvnWDY4n2ESAkh5AAhSd9ZtuiSzJIW=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@meg-ye6nn,UC5cLx7-1k7CmPdrA_Wr4J6w,Esse sutiã Mike?,2023-09-03T13:12:51Z,2023-09-03T13:12:51Z,1,none,True,False,,0.10416344553232193,0.8598076105117798,0.0360289104282856,UCjBO43ykxlSs3j7F7EXcBUQ
drnDl3LccLs,UgybKhq-tCBEsLJyLDh4AaABAg,@Blue_kitsunezin,https://yt3.ggpht.com/RTjtvcI5tBAqjZQtxVNe1R1TddLboYULXRS1uwfmMDnRIiQ5doDy8GcpdRdmdgp8Y67Jcf7Uig=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Blue_kitsunezin,UClEM2ovZuyoG5Nz6E1Uiy6Q,eu acho q o mike ta de sutiã kkkkkkk,2023-06-12T14:43:16Z,2023-06-12T14:43:16Z,0,none,True,False,,0.1172000840306282,0.8411713242530823,0.04162851348519325,UCjBO43ykxlSs3j7F7EXcBUQ
drnDl3LccLs,Ugws8rL_RfURI4WYL7t4AaABAg,@ianalmeida9542,https://yt3.ggpht.com/ytc/AIdro_mKyu3yDzJxKVy-NtrkGxVOrl8HIipuuN7uzuufqTqpUlY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ianalmeida9542,UCLTE57TYvH_bUqJFHgr2Z2w,Herobrine depressivo por não ser asiático KKKKKKKKKKKKKKKKKKKKK,2023-01-16T20:38:41Z,2023-01-16T20:38:41Z,0,none,True,False,,0.6728513240814209,0.31022149324417114,0.01692710816860199,UCjBO43ykxlSs3j7F7EXcBUQ
drnDl3LccLs,UgwYQshRjKYDbSvP_8h4AaABAg,@gabrielalexander1678,https://yt3.ggpht.com/ytc/AIdro_mW0HX8nY-Aegy1UXDgfTB3j4snP03S3Xy5MBGZkW1hUbbYoGKtw-0B2eroA56mHZ8mFQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@gabrielalexander1678,UCUiEeWPHjWSpOopnFMiMWvA,mano eu vir o herobrine,2022-10-11T12:56:32Z,2022-10-11T12:56:32Z,1,none,True,False,,0.08761141449213028,0.7457625865936279,0.16662605106830597,UCjBO43ykxlSs3j7F7EXcBUQ
drnDl3LccLs,Ugw89U747cI4Kj6N0HB4AaABAg,@diogo7998,https://yt3.ggpht.com/mPBTZjGDPlUPJmC068K6EZ4XfMYlO57YIZFtGiEhkWVSZUnaHOtyiPot6eF4n0-cIqsqafM2=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@diogo7998,UCDbkUqf6SkvaVGPn3XtVJLA,Eu assisti o em busca do herobrine,2022-08-26T20:19:22Z,2022-08-26T20:19:36Z,0,none,True,False,,0.044269368052482605,0.8543581962585449,0.1013723835349083,UCjBO43ykxlSs3j7F7EXcBUQ
drnDl3LccLs,Ugy0WarJNr_dGp4LNAd4AaABAg,@silkzin,https://yt3.ggpht.com/moZtjqlUStCLFtRLtNMapXb9S3A7J-XZZaDWvGyOZpg4OmY5n0RNtrmvI17PyIb_9YwbS4Kk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@silkzin,UChoW_nAXESJkcJvp_WE8gpA,Jesus amado,2022-08-16T14:55:13Z,2022-08-16T14:55:13Z,0,none,True,False,,0.12937664985656738,0.7171746492385864,0.15344873070716858,UCjBO43ykxlSs3j7F7EXcBUQ
