duration,comment_count,view_count,like_count,video_id,cluster
60,79,62069,4615,oBVSulldEgs,0
848,1750,277703,18111,o376MSUSD9I,0
36,64,68903,5818,sY1ACmXabVA,0
48,49,51018,4059,O6AuqTl9q5M,0
55,142,57823,4677,CWFmZtw8PRw,0
36,37,30242,2661,izO4YYYUHzc,0
53,19,34513,2944,0lglCe4yqNU,0
48,33,44144,4633,pTygHZrMZHE,0
47,26,27638,2326,XYMcOxB6W-c,0
49,50,77323,7659,0PE6VACgby0,0
37,20,25818,2465,xc9pIjIrwzg,0
60,35,55408,5083,VDXZHcLwSas,0
59,70,136305,16436,kZlX0g1Eq4M,0
48,20,26168,2576,zo8SnJzcGRk,0
55,24,46762,4071,Y9jSG-t-vTg,0
46,35,54938,5185,MrtceRq9YeI,0
60,64,72714,7283,Z8AGSF3uPms,0
45,56,60973,5250,Xg2AB1Gp7jc,0
57,54,40177,3985,YTZrv-BtxA8,0
60,39,43089,4517,1VMTGVhFvFc,0
57,46,33465,2760,guClIAzl-64,0
59,130,122551,13163,Bw1Ac7LNEOo,0
59,37,46871,4628,x7Jqw08BK0w,0
47,114,168329,15857,8T4_nwWIXQA,0
653,849,309920,17404,5xXOMkKLAQo,0
615,800,349132,22803,YW43UqxxSUY,0
547,875,465460,22860,IqqirbwI8r8,0
904,858,218689,17607,6woXmR7pK5k,0
65,705,333954,22323,WtweBiqQdCo,0
617,873,576872,21922,T8iEDDtpByI,0
556,1125,290863,19552,4YGj1H2tC0U,0
492,545,320424,18111,3xwTp0_gjE8,0
494,825,500831,23373,iCK1zjImWn4,0
653,786,427731,23637,TtkS-Rv2CqI,0
727,505,118369,9162,OlKzeFU1nag,0
702,1927,359067,32103,hNSlzm0uEl4,0
970,2709,863035,69816,0ldf9mLUIc4,0
1154,4713,1902509,110759,0ekE2OUYDZg,1
734,1252,712376,46617,o0v-DO_56GM,0
916,7431,1163145,82532,8M4w3ahiuZc,1
885,1320,657184,44041,W6V5ZBMM0fE,0
978,1091,740067,46749,-EN-EiUlHyE,0
1177,5262,3391893,150681,8LduvlphKuE,1
1245,1904,780916,55669,gJDvyp9Z_8E,0
7419,3335,1757484,72997,iPBpRoL1Ajk,1
930,2002,679615,46630,FDJCwncED0o,0
1026,1341,742192,52994,VD6e3UhMEsc,0
814,1435,1708185,78982,n1Z4jTxGXLo,0
1346,2460,1958395,142805,8z__2xFV9j8,0
839,1817,1173023,61539,vYIvl1QNkow,0
358,1537,347994,27877,SmYV0uL0XO8,0
656,997,396178,26047,sr3iaKpdvAU,0
595,719,359070,25822,BBPE0VnCAI4,0
