Ranking,Canal,Inscritos,Views,Vídeos, Video3Meses, PorcentagemRobloxMes,FrequenciaMes,
13,Athos,11.7M,4.76B,2.55K,True, 0, 
14,Julia MineGirl,11.5M,8.79B,2.59K,True,1 
19,ProbIems,10.4M,6.7B,4.03K,False, 0, 
22,Papile,8.82M,1.09B,2.22K,True, 1
24,MoonKase,8.52M,4.02B,7.18K,True, 0.05
34,Paulinho e Toquinho,7.24M,2.23B,472,False, 0
37,Tex HS,6.87M,3.37B,2.77K,True, 0.5625
41,Amy Scarlet,6.53M,1.77B,861,True, 1
45,jvnq,6.13M,2.57B,8.8K,True, 0.068
47,Luluca Games,5.84M,2.07B,1.28K,True, 1
51,HeyDavi,5.66M,785.89M,366,False, 0
54,meu nome é david,5.45M,1.07B,1.07K,True, 1
56,BaixaMemoria,5.37M,686.25M,2.98K,False, 0
58,Nicole Maffi,5.24M,1.14B,2.42K,True, 1
