Ranking,Canal,Inscritos,Views,Vídeos
1,Canal KondZilla,67.6M,39.2B,3.2K
2,LUCCAS NETO,51.6M,30.88B,3.15K
3,Bispo Bruno Leonardo,49.9M,7.67B,7.31K
4,Maria Clara & JP,47.4M,31.26B,956
5,Felipe Neto,47.1M,18.45B,5.45K
6,Você Sabia?,46.3M,8.27B,1.73K
7,whinderssonnunes,44.8M,4.63B,921
8,GR6 EXPLODE,42.1M,29.18B,3.33K
9,Enaldinho,42.1M,19.59B,4.83K
10,Spider Slack,38M,22.13B,1.43K
11,Galinha Pintadinha,37.6M,36.69B,66
12,rezendeevil,33.8M,13.76B,12.47K
13,DUDU e CAROL,32.4M,14.57B,3.25K
14,Renato Garcia YT,29.7M,9.49B,4.83K
15,Rafa & Luiz,29.2M,10.77B,4.08K
16,Natan por Aí,29.2M,18.03B,1.8K
17,Valentina Pontes ofc,27.4M,10.96B,3.53K
18,Marília Mendonça,27M,20.73B,242
19,Lucan Pevidor,25.8M,12.9B,1.38K
20,Emilly Vick,23.4M,11.85B,941
21,Masha e o Urso,23.2M,10.83B,1.75K
22,Fatos Desconhecidos,22.4M,4.4B,7.8K
23,Robin Hood Gamer,21.9M,11.51B,4.53K
24,Matheus Kriwat,21.8M,3.82B,1.09K
25,José Totoy - Português,21.6M,813.22M,341
26,Gusttavo Lima Oficial,21.2M,17.14B,728
27,Canal Canalha,21.1M,2.02B,360
28,Painzeiro,21M,4.06B,1.37K
29,Turma da Mônica,20.8M,13.55B,1.12K
30,AuthenticGames,20.1M,8.98B,4.84K
31,Gato Galactico,20M,3.51B,1.53K
32,Anninha,19.8M,4.06B,1.65K
33,Manual do Mundo,19.3M,4.74B,2.98K
34,Juliana Baltar,19.1M,4.71B,2.74K
35,Gabrielmiranda_ofc,19M,10.68B,1.34K
36,Dan-Sa / Daniel Saboya,18.9M,586.3M,3.08K
37,Porta dos Fundos,18.5M,8.59B,2.92K
38,T3ddy,18.5M,3.71B,2.48K
39,INCRÍVEL,18.4M,3.4B,9.27K
40,CazéTV,18.4M,2.5B,8.63K
41,MK MUSIC,17.9M,11.77B,7K
42,Jooj Natu,17.7M,11.85B,1.57K
43,MC Divertida,17.7M,8.1B,668
44,Ju Araújo,17.6M,6.79B,17.8K
45,Little Angel - Músicas Infantis em Português,16.8M,10.97B,1.12K
46,Crescendo com Luluca,16.7M,6.43B,1.8K
47,FitDance,16.7M,7.73B,7.13K
48,Henrique e Juliano,16.6M,19.03B,367
49,MALOUCOS,16.4M,9.13B,1.38K
50,Canal IN,16.2M,2.82B,721
51,NOBRU,16.2M,639.88M,1.01K
52,O Reino Infantil,16.1M,11.16B,1.39K
53,Neagle,16M,3.2B,2.65K
54,Spiderbritto,16M,6.73B,1.34K
55,Tales Bento,15.9M,4.31B,89
56,Zé Neto e Cristiano,15.8M,14.3B,515
57,Camila Loures,15.8M,5.68B,4.97K
58,Peppa Pig em Português Brasil - Canal Oficial,15.7M,5.84B,1.92K
59,O Que Não Dizer Oficial,15.7M,2.93B,1.09K
60,Gustavo Paródias,15.5M,4.11B,4.02K
61,Pastor Antônio Júnior,15.3M,2.85B,7.31K
62,Jorge & Mateus Oficial,15.3M,10.94B,372
63,TazerCraft,15.2M,6.23B,4.18K
64,Canal Nostalgia,14.9M,1.58B,449
65,Bolofofos,14.8M,15.94B,88
66,Planeta das Gêmeas,14.7M,2.97B,563
67,LEGENDA FUNK,14.5M,2.4B,6.26K
68,PlayHard,14.5M,2.51B,2.56K
69,IDEIAS INCRÍVEIS,14.4M,3.65B,6.68K
70,Cadres,14.4M,5.66B,2.35K
71,Wesley Safadão,14.2M,9.07B,550
72,Invento na Hora,14.2M,4.19B,1.38K
73,Hungria,14.1M,5.88B,223
74,AM3NlC,14.1M,5.15B,6.21K
75,João Caetano,14M,4.3B,4.04K
76,Mundo Bita,13.9M,19.76B,369
77,Ei Nerd,13.9M,4.09B,8.25K
78,7 Minutoz,13.8M,4.99B,554
79,MAIKI021,13.8M,1.99B,3.17K
80,Netflix Brasil,13.6M,2.31B,6.29K
81,RedeTV,13.5M,5.7B,46.67K
82,LipaoGamer,13.3M,4.85B,12.7K
83,Brancoala,13.3M,10.1B,2.25K
84,Monica Toy,13.2M,9.05B,742
85,MUSSA,13.2M,2.26B,583
86,Canal Clash War,13.2M,2.68B,3.53K
87,The Noite com Danilo Gentili,13.1M,5.8B,15.45K
88,SBT,13.1M,4B,27.4K
89,Everson Zoio,13.1M,1.04B,629
90,LOUD,13M,2.61B,1.5K
91,Mayca Brasil,12.9M,9.2B,4.8K
92,Piuzinho,12.8M,1.14B,616
93,Matheus Yurley,12.8M,109.71M,52
94,Parafernalha,12.7M,4.84B,2.51K
95,Love Funk,12.6M,7.79B,2.27K
96,Giselemiranda_ofc,12.6M,7.59B,1.11K
97,MILENINHA,12.4M,4.99B,1.15K
98,Marulho,12.4M,6.52B,1.18K
99,Receitas de Pai,12.3M,1.07B,1.24K
100,Bela Bagunça,12.3M,2.98B,1.42K
