video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,channel_id
Wt_nzm39fX4,Ugy39XCCkhMN7lJrHDp4AaABAg,@MadeByLuiz,https://yt3.ggpht.com/j157ewuA6Z60722r5nKsFFfH5zh05Q4cFC60Y0EtLt2oZRXNKkgnCR0IxK4tDY3exizGj0e7=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@MadeByLuiz,UChzUQPdnpUF3jcrFA4gK6Vg,Saudades do authentic,2022-11-22T16:04:12Z,2022-11-22T16:04:12Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
Wt_nzm39fX4,UgwaeCzMNHi9yyKAdg54AaABAg,@CleideSilva-cx5uf,https://yt3.ggpht.com/ytc/AIdro_nP3TEJPVIQ57iW1Q8Jp5cuYEh-_oerXO3L3S6j_ok=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@CleideSilva-cx5uf,UCRwlBve0k1PN9owsbQ4CWOA,Que YouTuber incrível faz vídeos incríveis merece tudo que tem e que tenha mais futuramente☺,2022-10-26T16:34:40Z,2022-10-26T16:34:40Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
Wt_nzm39fX4,UgzJ8XUicOHB_kg7c294AaABAg,@ffraivoso6214,https://yt3.ggpht.com/TM8vWgpSkPqtSuPaY37xpqnu_5JxQk1pgSDqsj3yX6H4mgo_gCF9SHbsJipDkqOcrRE-Gdq6=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ffraivoso6214,UCUvFnIUijpqUVayhBLY6D8w,Mano aonde vocé tava saudade,2022-08-08T23:14:00Z,2022-08-08T23:14:00Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
Wt_nzm39fX4,UgxNmRAB3_ASiAGgPJx4AaABAg,@carade._.5313,https://yt3.ggpht.com/LBeLdcii4sIiMCTkuQyaJOVIqzOB3nULee2jCYwJOLaoLhvHezEmUVpZ0c5vsv0SURnQAwwif6o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@carade._.5313,UCyqmHzZQJTO0lyFG47nA3gA,"0:52 imagina ele pula achando que esta voando de vdd kkkkk

Mãos mn isso acontece de vdd com algumas pessoas...",2022-07-18T22:42:55Z,2022-07-18T22:42:55Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
Wt_nzm39fX4,UgyYXPWECqs1e5SZZH14AaABAg,@Pao_Docinho1,https://yt3.ggpht.com/dH_f_NiGSAUXXo7F1yT1qO_Sla4ibMJGLUfPJl4-MsDXFcTAMHINK3wu_FuqstT-ZNFtpriu1w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Pao_Docinho1,UCS_eSQpSQbbjb7YW5wg9D5A,Música do jojo's,2022-07-14T01:20:36Z,2022-07-14T01:20:36Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
Wt_nzm39fX4,UgyBncpGx8y3F7GuK4B4AaABAg,@begames7648,https://yt3.ggpht.com/ZleMBgUIk71PsK2SVhJVzgvVikPWST3433XY0K3T4Tk-xIbu4OiMpMcMQ3waIkS8wPWFC-HirrQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@begames7648,UCiieVCMm4SmZK2auuEF_1mw,As vezes tenho sensação que vc simplesmente só reposta os videos,2022-07-13T04:09:57Z,2022-07-13T04:09:57Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
Wt_nzm39fX4,Ugwpr3pnsHlha5IYhsR4AaABAg,@chopperefofosedizerquenvce887,https://yt3.ggpht.com/d0n8zzP3pxj9CPbLJitKPwWZ53-CIRvJWlNw4prkZ5MxdS4nl0bfhXwF8lojgaU3LnkKxhnlpg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@chopperefofosedizerquenvce887,UC5cM5WGpsfIGXF9jpM4LK4A,Quando tinha meu canal se era minha maior top 1 expiração terminava como vç eu te adotava se marco mas do que minha infância e sim minha vida agora finalmente se votol vç tá deichado minha vida ainda melhor,2022-07-12T22:52:38Z,2022-07-12T22:52:38Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
Wt_nzm39fX4,Ugwpr3pnsHlha5IYhsR4AaABAg.9dP-ldM-NHi9dP0-sWixvo,@chopperefofosedizerquenvce887,https://yt3.ggpht.com/d0n8zzP3pxj9CPbLJitKPwWZ53-CIRvJWlNw4prkZ5MxdS4nl0bfhXwF8lojgaU3LnkKxhnlpg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@chopperefofosedizerquenvce887,UC5cM5WGpsfIGXF9jpM4LK4A,Meu sonho é ter um canal em qual o seu,2022-07-12T22:54:43Z,2022-07-12T22:54:43Z,0,none,True,True,Ugwpr3pnsHlha5IYhsR4AaABAg,UCIPA6iWNaoetaa1T46RkzXw
Wt_nzm39fX4,UgwSbfEmd5i4Fc-UR_l4AaABAg,@retardado6444,https://yt3.ggpht.com/ytc/AIdro_nD7vJJRRwN2cjBVcOfPWEkEW5qjSBcZoRgMNJaYCBil5HTvfwaJpmaUR7m58AWVSrDwA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@retardado6444,UCktu9Ol8EhGEupeLSTHVSWA,Nossa que nostalgia mano faz mais de 6 anos que n te vejo kkk que saudades maninho,2022-07-12T05:16:00Z,2022-07-12T05:16:00Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
Wt_nzm39fX4,UgwSbfEmd5i4Fc-UR_l4AaABAg.9dN6q_9RQyI9dO4Bwzc2e3,@AuthenticGames,https://yt3.ggpht.com/COriZuWhFd-sWvdl-Ks798PIuDeuorToqnsHb4GdJgs4XC27q_C4_chJYr6uJWwjw_fx8rXp=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@AuthenticGames,UCIPA6iWNaoetaa1T46RkzXw,Valeu meu mano!! Tamo junto 👊🏼,2022-07-12T14:12:04Z,2022-07-12T14:12:04Z,1,none,True,True,UgwSbfEmd5i4Fc-UR_l4AaABAg,UCIPA6iWNaoetaa1T46RkzXw
