video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,channel_id
LibkZtLbkys,Ugy_SQP5qlu4AAqjevZ4AaABAg,@JoaoVictorVictor-iw5oh,https://yt3.ggpht.com/ytc/AIdro_nnIRUmuuO6W_tIk9D-YmL6t0uNruYgC8TeTjvYqXKl6c9FXiAP47jKyuLrHos6hE_DZw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@JoaoVictorVictor-iw5oh,UCyeQm1AbYZ_rT88JdSAc1ag,Oi altentique,2024-02-10T15:45:24Z,2024-02-10T15:45:24Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
LibkZtLbkys,UgyTbdZKWZbTaMWn2fJ4AaABAg,@biancabarrinho6928,https://yt3.ggpht.com/-LmNGDMy1OAt_3lD7zDqbl8a9d5Ijmhti8Ba07rj_q3Q0cO6SOwHbFlkW_Y7eHHk60SJPhhKePU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@biancabarrinho6928,UCD6PLzkLvLlWuqL8RXAF0Tw,Hipopótamo mata mais que tubarão,2023-06-05T17:57:11Z,2023-06-05T17:57:11Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
LibkZtLbkys,UgxSrZHdzV3EUQ6UU414AaABAg,@lucasmartinsdesouza5227,https://yt3.ggpht.com/2O3jeKpf6yXcaAo7OhkZARP_XL8ij4UWwXWo2V_LjnM0by6JbUQDE8ksQ1AgbcIYdf0DQuUP=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lucasmartinsdesouza5227,UC8qzVx1jAqryBpU9-iraSnA,💙💙💙🤎🤎🤎💚💚💚☺️☺️☺️😊😊😊🤗🤗🤗🥰🥰🥰😍😍😍😘😘😘🤣🤣🤣😂😂😂🙏🏻🙏🏻🙏🏻😇😇😇👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑🤩🤩🤩😎😎😎💀💀💀☠️☠️☠️⚠️⚠️⚠️,2023-05-18T22:08:41Z,2023-05-18T22:08:41Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
LibkZtLbkys,UgyOOhC5l-mbdEnfTyV4AaABAg,@hudsonnavega8141,https://yt3.ggpht.com/-ZIrFiAFDVgpb_n2Y7QEX7QkcA6TjG7aMV9idcumrMYR-xtJ676hjbSpFaR9SBru4BrkUc_lVw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hudsonnavega8141,UClBa72SgoSHp70QR0APGpbA,Oi,2023-01-05T23:19:13Z,2023-01-05T23:19:13Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
LibkZtLbkys,UgzbHgsebSfv_TEa4T14AaABAg,@leon4rd1998jrInverso,https://yt3.ggpht.com/IMednnoh-6Y0mfwr2Bf-2eFiMesYb7GTgHN5_8q31HjqsgPSe_L3KrKv-vF97PBU8N28Deuk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@leon4rd1998jrInverso,UCZlCUCzqFA5Oz-bVVI4keww,Essa série me lembra quando eu era criança,2022-12-27T11:50:34Z,2022-12-27T11:50:34Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
LibkZtLbkys,Ugz7VofqO1I6vuSjAjl4AaABAg,@teodoracastro6434,https://yt3.ggpht.com/ytc/AIdro_lHR8xEnCIAvZni58m4JM81jWXbAzCq1nARh_OG59HwNg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@teodoracastro6434,UCeKpaSunjYCOEHCBNp0iMlA,Ipopotamo e muito bunitinho :3🦛💕💝💖,2022-11-14T01:46:40Z,2022-11-14T01:46:40Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
LibkZtLbkys,Ugy6VcNIB61lnbMtbIx4AaABAg,@Sophia_kkj,https://yt3.ggpht.com/MWQVcQRwLswJx1jlnZo8xaBO3_typkR5t1NiXgY4OGY__UmOwfKN5sZoCsBTJJglT3djNZwJtw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Sophia_kkj,UCbKEz9t71ALDnCK74gT2T4A,Qual é o nome do mod???,2022-08-12T18:01:07Z,2022-08-12T18:01:07Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
LibkZtLbkys,UgwLLTOZjxB1UEUnfkB4AaABAg,@jefersonlucosi8412,https://yt3.ggpht.com/ytc/AIdro_k7jpOYJhdMdYLJyB7ThF_3r8no7weSQDI9TzRQSxo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jefersonlucosi8412,UCmdsj4QhXTKIojd1GcD0ewQ,No próximo vídeo de Minecraft espécies authentic por que você não faz das plantas vs zumbis porque dá para encontrar no mapa e se tu encontra alguma mansão abandonada mas só para proteger mesmo os animais por que você não ataca um monte de planta em todo o seu mundo com Iago e o pocão que daí você vai conseguir proteger os animais porque os zumbis o plants vs zombies e do Minecraft eles agora estão aí só que os zumbis normais viraram zumbis do Minecraft do plantas vs zombies,2022-07-26T23:24:36Z,2022-07-26T23:24:36Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
LibkZtLbkys,UgyqKM8UywcqXPdFSTB4AaABAg,@TheKing-vj9cl,https://yt3.ggpht.com/6fkhlJfXnYnJCB5Edg0Uy7yS-gEkl25Xw6d26TZevJfLMsSOBUwdQhtVwcqBWPS6Zf63sssaow=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TheKing-vj9cl,UCpCdE7OgXxgYTH1wYvQfPVA,To amando.Continua com a série,2022-05-29T12:13:16Z,2022-05-29T12:13:16Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
LibkZtLbkys,Ugzf46kvmXtaksH8c2N4AaABAg,@toyboniefadaroxanewolf5694,https://yt3.ggpht.com/suQ7uBQTR5conkDKmobts7_A7NIxHcSeHsr8NAfHAp4NAkZ-m_zb_hPq9GLYKl1278KyhSzs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@toyboniefadaroxanewolf5694,UCv7dlsps708iwS6TlREVywA,Eu amo sapo até pego eles são  tão fofinhos,2022-05-02T23:30:41Z,2022-05-02T23:31:19Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
