video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,channel_id
BGMzFLWRKyc,UgwP513nvq5J3vvakT54AaABAg,@zanzlanz,https://yt3.ggpht.com/ytc/AIdro_loaE-IE5gcNb4pBQPNRtwD4_y_tl7a--3TydwxrL7Ldd8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@zanzlanz,UCctd5MdW-o2lRMwgogoUZHQ,"Obrigado por jogar, Authentic!! Sua série é uma delícia de assistir ❤",2022-03-11T02:54:27Z,2022-03-11T02:55:11Z,3,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
BGMzFLWRKyc,UgwP513nvq5J3vvakT54AaABAg.9ZQ8sGU-GWu9ZgP047fK07,@PietroMaster33,https://yt3.ggpht.com/r7cwCoRdN2Rn6CrU10mhnHlCcoheyEaqFZmVphr6b5tyfxav9ErRTI-gT67w3pmOZZi-H9uR=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@PietroMaster33,UC9sAH0yscXJ_qS7Dzfs1DTw,OMG Zanzlanz,2022-03-17T19:42:33Z,2022-03-17T19:42:33Z,1,none,True,True,UgwP513nvq5J3vvakT54AaABAg,UCIPA6iWNaoetaa1T46RkzXw
BGMzFLWRKyc,UgyQo3d5q7bKkU5gl894AaABAg,@salatielyalves5646,https://yt3.ggpht.com/ytc/AIdro_lLSISE9zLYMwUZ-BsBQpuZXg9oQFlUfj4Iun7WolkFw30=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@salatielyalves5646,UCH24ZW38n2vuT_fOAzf6iag,Devia ter mais vídeos de troll eu adoro !!!!!,2022-03-10T20:54:01Z,2022-03-10T20:54:01Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
BGMzFLWRKyc,UgxY6mn2Ms33XOzrrZJ4AaABAg,@Hey_JV,https://yt3.ggpht.com/MHhp3tw9rwckwiN682SZQazJIoyZT50l2CSE_z6cr-phGOlfzHqxZ8SPRhINr7csDIFy9Gv8eA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Hey_JV,UCL1Uws7RKy9kwLmRBff0-hg,"E meio difícil do Authentic ver isso mas e que quem fez essa skin aí pra vc foi eu meu mano,que legal que vc tá usando ela ^^",2022-03-10T17:31:51Z,2022-03-10T17:31:51Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
BGMzFLWRKyc,UgxdSSmy9bGw006KhF94AaABAg,@luan1006jl,https://yt3.ggpht.com/Z3Q3whCLFK-rjf3SlxemM-pY0O74ehYl6Nl8GnPTneC3ciwkpZjbtTOxhTRSQ5VEwdXC5mQ-=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@luan1006jl,UCWFIaMWxXBmjXieYkDLnYYw,authentic eu tenho seu pijama com varios numeros 1 e 0 sou seu fa,2022-03-09T13:29:31Z,2022-03-09T13:29:31Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
BGMzFLWRKyc,Ugw4tlPGRp6Cvf80RIV4AaABAg,@athilahonda6810,https://yt3.ggpht.com/7hBo2nKJAgtMd_oPEl93L9e7OYcjWnZP8JPYcXlZ7y5z5THm8cDPMt5DbcDKzXBHLEK8XiPfuA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@athilahonda6810,UCGCtks-Qo3iekR8PSCpP44A,MN eu te conheço a muito tempo a quatro anos,2022-03-08T16:19:48Z,2022-03-08T16:19:48Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
BGMzFLWRKyc,UgyHWxEZn7k__YJhPnx4AaABAg,@Gustavo._.g,https://yt3.ggpht.com/UsNm-9u4tJ98-L9gmlSeluvEyDG5hLFViTWJISFCvlRz-x0WK3ufTmyEJd-jQx0WnJ1NScVY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Gustavo._.g,UClvb_ah3jOyhRUwWhAPeoKg,Essa série foi muito legal,2022-03-08T16:15:49Z,2022-03-08T16:15:49Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
BGMzFLWRKyc,UgxeYWNbTW_PC2-Aedx4AaABAg,@roseanefranca9685,https://yt3.ggpht.com/ytc/AIdro_lawf9yWTQpDKE0MLo3587nhlwH_ppxDQse0Bw_-WWV25kHUsQnoRSTBnBBFdxj69wZBg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@roseanefranca9685,UCXZlYlhZZ-foqDaG7aCTHMA,Authentic culpa por não assistir isso de noite Taís acabou tá desculpa que eu tava dormindo🥱🥱😭😭,2022-03-08T15:36:22Z,2022-03-08T15:36:22Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
BGMzFLWRKyc,UgzoceUSlnqpw4ZIO-t4AaABAg,@uelintopinheiro,https://yt3.ggpht.com/ytc/AIdro_kLG58jIotrxJj9ak--54_5FBmGrpQvoYWj2LScms2QtLXpOwiaa9bm-8cvRqvtiBtv1g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@uelintopinheiro,UCqqjzFANpI_rWjA6PMrBjDw,"Agora o authentic vai zerar o MineBlocks, authentic faça uma série com muitos mods tipo mods de cidade como mods de carros, móveis, skates, bikes e muito mais e poderia ter também um centro espacial de lançamento e você podia ir pra lua em um episódio da serie",2022-03-08T13:33:06Z,2022-03-08T13:33:06Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
BGMzFLWRKyc,UgwR6wwRW023uxF2Ox94AaABAg,@cjdoidao432,https://yt3.ggpht.com/Ss3eHI4Q5QL6clPJ-3wKbZS-BFWmXGdiBHNz78wECnWxv2jdusnMHJohaeE2jn0mGl_ABIXAgOM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cjdoidao432,UCTsE2l2PJeWX38SO_hjAdcA,Opa Autentic blz assistia seus videos mais de 6 anos atras muito tempo neh nostalgia,2022-03-08T12:49:13Z,2022-03-08T12:49:13Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
