video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,channel_id
uwc-FtcttLw,UgziOyssz7GQVHb31tZ4AaABAg,@lucasmartinsdesouza5227,https://yt3.ggpht.com/2O3jeKpf6yXcaAo7OhkZARP_XL8ij4UWwXWo2V_LjnM0by6JbUQDE8ksQ1AgbcIYdf0DQuUP=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lucasmartinsdesouza5227,UC8qzVx1jAqryBpU9-iraSnA,💙💙💙❤️‍🔥❤️‍🔥❤️‍🔥🔥🔥🔥☺️☺️☺️😊😊😊🤗🤗🤗🥰🥰🥰😍😍😍😘😘😘🤣🤣🤣😂😂😂🙏🏻🙏🏻🙏🏻😇😇😇👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑🤩🤩🤩😎😎😎💀💀💀☠️☠️☠️⚠️⚠️⚠️,2023-05-18T15:43:32Z,2023-05-18T15:43:32Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,UgwFtNL3jaVNhoq6nbd4AaABAg,@heitorthorzinhogameclick8697,https://yt3.ggpht.com/O6AxD0JGWj9UmwT8HajkZYKcgbU6Wh48XIvhRbhpoyGPQRO43Ld1heWRMEM0woTSDVLxz4nP=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@heitorthorzinhogameclick8697,UCpEyuzak784gsTVSqlALGqw,Zazu kkkkkk,2023-01-20T17:51:23Z,2023-01-20T17:51:23Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,UgwsghHwEqefOTxs2N14AaABAg,@hugomarino7360,https://yt3.ggpht.com/ytc/AIdro_lIG2jgosNzVJS7w7Pgj79DIm-e7quI0zl7NVQyxPY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hugomarino7360,UC56BjX6pnmM56hzXoM_5Ntw,🐛🦎🐜🐞🐝🦋🐌🦗🕷🦟🪰💐🦠🌸💮🏵🌹🌺🌻🌼🌷⚘️🌹🥀,2022-12-18T23:31:00Z,2022-12-18T23:31:00Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,Ugx18PaMK3F4lAd5qa94AaABAg,@ratogamer016,https://yt3.ggpht.com/4X138B2osOA2YbbE6a1SN9d53YORoyxF8yydTFj1HiQUWjPqBUr3gijKC41v83KsXsOiC08R=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ratogamer016,UCc003qaBEPE2F34QUold_wg,É só ativar denovo o mod de pegar os bichos,2022-10-14T16:39:43Z,2022-10-14T16:39:43Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,UgzTWudeNdZOR3U1I7p4AaABAg,@thiagosilva3288,https://yt3.ggpht.com/ytc/AIdro_mB_TmOdTJOj9xqEqIu6-KAmRHqccClBeBPfJq-_SAmKKV_=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@thiagosilva3288,UCqwcBsgoAt3jOsUYcCIhJPw,tucano de bico preto e tipico da omde eu moro,2022-07-24T18:04:37Z,2022-07-24T18:04:37Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,UgwzbSXo8SBrjc_avXB4AaABAg,@danibarbosa5998,https://yt3.ggpht.com/ytc/AIdro_m1yH4_YEX-XdAa-Sx70dlaa2XynYP-fHuvw6DOCbgLj2QF=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@danibarbosa5998,UCKv4VC0eITOoyqTPdRRThnQ,Muito legal mesmo Minecraft demais 🥰🥰👏🏻,2022-04-22T06:25:21Z,2022-04-22T06:25:21Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,UgzP4SU_DdyZ4ez-5594AaABAg,@claudiomiropermonian41,https://yt3.ggpht.com/ytc/AIdro_ldQNCJoqb2ACiWS5tI0fa5OHsUN-DbrYZMr0kII7wBc0yO3d9TcCxQjkS5SREDdYZ3kA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@claudiomiropermonian41,UC5u0oMGDKqrk8E_aDSWLX-g,Será que não tem abelha de Blaze Power,2022-04-22T03:07:24Z,2022-04-22T03:07:24Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,Ugy63amAOg7XYOGP3PF4AaABAg,@lirienerodrigues7303,https://yt3.ggpht.com/ytc/AIdro_nbOUAr0DSwhLxiizEugjSv8iKSQDExD2jdLJLEQo6XILh7G8ygJrMPXfBhVWCr4m6HlQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lirienerodrigues7303,UCeuCNRJtbCEGPQoMS5Tohxg,OI    OHOHO.   🐦🐧🐾,2022-03-28T22:43:27Z,2022-03-28T22:43:27Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,UgyuasaxtvRtoIon0_94AaABAg,@narutoekurama1021,https://yt3.ggpht.com/ytc/AIdro_ntxfUfuQNBeoinGa63FFprWegNHSv-6BSnIO9VRw-0vA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@narutoekurama1021,UCZWgCWsPEGFjHyJ63-uvycQ,Qual nome do mod que ele falo? 1:20,2022-03-20T02:50:03Z,2022-03-20T02:50:32Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,Ugy7S1RIN-I7LiDYAo94AaABAg,@ericadasilvaalmeida1541,https://yt3.ggpht.com/ytc/AIdro_kcscKIaonZ4oshAPK8smt2tQbiWFT3p9Rc6m8pb4g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ericadasilvaalmeida1541,UCFEFP04B0O0WkybdrHam_8g,Coloca o choco na Jaula dele,2022-03-19T20:55:34Z,2022-03-19T20:55:54Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
uwc-FtcttLw,UgxbbkiRUP78sepE3ox4AaABAg,@Princesa_Redxp00,https://yt3.ggpht.com/05F7VzMtRHCKTZ7Gs81vLIFia7USiaiKytaiY7E13PiveP-LoSsdbqUp2obXePITyN396aem=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Princesa_Redxp00,UC7xEtA4xj7g3TpTn2L34YDQ,Sou o mais novo escrito vi esse canal no dia 18/03/2022 i já gostei bastante vei,2022-03-19T19:30:10Z,2022-03-19T19:30:10Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
