video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,channel_id
UpYCmzXvcoM,UgxuNzTsIFR3MGBRqat4AaABAg,@evertonjosianevaz1968,https://yt3.ggpht.com/4fzmzZCcywu1LhrxpIHjAZvf0Zmuh-WPJYm55lW2xF6HR-YQ3llmyEvMyx1O5navQgJd-Jkhug=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@evertonjosianevaz1968,UCmvgP91nlX53EDpJSkYKbFw,R.I.P doguinho 😢,2023-04-30T18:11:37Z,2023-04-30T18:11:37Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
UpYCmzXvcoM,UgzhzZPxa5dTVraHBY54AaABAg,@miguelgamer13_hd,https://yt3.ggpht.com/8G6N5Kt8-Btfz7mf62KDv_UxUB6IAzUawN4opaW_4bjdmj9iP6_Dq6s_5Fo491JhjVSJfY_22A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@miguelgamer13_hd,UC7sE5PRdobO8WYPDI_49iFQ,f Sheik mais engraçado é a temoração do diamante 💎 😂😂😂😂,2023-04-09T18:08:56Z,2023-04-09T18:08:56Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
UpYCmzXvcoM,UgxsDcW49j2hSAP3Ifx4AaABAg,@saralimarocha7866,https://yt3.ggpht.com/ytc/AIdro_m8XKHqSWkWTWqWfEqmk_VKzILNNjD_Lzb82OiQOJGQrEQgbhrNF_TgQFrd7LuMlqJAqQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@saralimarocha7866,UC1vBerdm-SnsuxKy63TGKXw,aquela imagen se vc fica feliz ou triste,2022-09-28T00:58:28Z,2022-09-28T00:58:28Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
UpYCmzXvcoM,UgyJb3dWNVPrqHo-LVR4AaABAg,@saralimarocha7866,https://yt3.ggpht.com/ytc/AIdro_m8XKHqSWkWTWqWfEqmk_VKzILNNjD_Lzb82OiQOJGQrEQgbhrNF_TgQFrd7LuMlqJAqQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@saralimarocha7866,UC1vBerdm-SnsuxKy63TGKXw,f doguinho sem nome,2022-09-28T00:57:53Z,2022-09-28T00:57:53Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
UpYCmzXvcoM,UgyWgNbqmQGpgmhoCTN4AaABAg,@sandranoronha8314,https://yt3.ggpht.com/2EXh-MiJuBiqneRjsgoxV092jjnEYhXsmPTAtNQi9YfbTmacB6nQzBNI2ieVclFeDhIEPw5j=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@sandranoronha8314,UC368liV_qj_8sxhnFyvjCXg,Meu nome é Eduardo,2022-04-23T01:16:43Z,2022-04-23T01:16:43Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
UpYCmzXvcoM,UgwxjjeMZpn_6FjklfF4AaABAg,@sandranoronha8314,https://yt3.ggpht.com/2EXh-MiJuBiqneRjsgoxV092jjnEYhXsmPTAtNQi9YfbTmacB6nQzBNI2ieVclFeDhIEPw5j=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@sandranoronha8314,UC368liV_qj_8sxhnFyvjCXg,Entenda aqui na televisão e eu vi mesmo Episódio da minha televisão deviantART cupulate ou vídeo dá like nesse meu nome é Lia Eduardo e eu também seu nome dá like do YouTube,2022-04-23T01:16:35Z,2022-04-23T01:16:35Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
UpYCmzXvcoM,UgxzSA1OoVVN2dxyEzl4AaABAg,@pedrootavio3651,https://yt3.ggpht.com/-nn1c2CIplaixoHqeANXFph9vM9UnUIQKlE1C-uD3SIFVX63YYCk5HfMxlHg5ttL0i7x0tKGWQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@pedrootavio3651,UC0Gjele8cAbxuZF0ICGNYVw,👋👋👋👋👋👋👋,2022-04-07T15:25:53Z,2022-04-07T15:25:53Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
UpYCmzXvcoM,UgzR_nLvPdmx3Kx7y6R4AaABAg,@pedrootavio3651,https://yt3.ggpht.com/-nn1c2CIplaixoHqeANXFph9vM9UnUIQKlE1C-uD3SIFVX63YYCk5HfMxlHg5ttL0i7x0tKGWQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@pedrootavio3651,UC0Gjele8cAbxuZF0ICGNYVw,Io,2022-04-07T15:25:08Z,2022-04-07T15:25:08Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
UpYCmzXvcoM,UgxaVC2UHoFYjKGHWzN4AaABAg,@jpplaysgames722,https://yt3.ggpht.com/_UZNfFB3_ETGskPWHR8l2foZP1s1_wvPw-1bNF1hxCruBZ8znklqV1P999hs88oZhdN8AkDO=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jpplaysgames722,UC6QJLfjc9dIY_W9HPI79pIA,Na minha opinião Esqueceu os amigos do divino está aí cara porque você devia para o Almir de para poder jogar o jogo velho as vezes isso meu Deus quem vai fazer a festa eu vou todos os amigos dele que participavam das outras séries antigas escutou a galera que participa hoje mano Authentic queria ficar muito rico velho mano eu até ia parar de te ver Possivelmente é que isso aconteça véi se você não leu completai você é uma pessoa que não tem coração vou te fazer esse post aqui,2022-03-12T01:16:56Z,2022-03-12T01:16:56Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
UpYCmzXvcoM,Ugyis8EJDjaNEngzItt4AaABAg,@mundoheitor8456,https://yt3.ggpht.com/ZvKpQxvLNMbGuZ4ugZDNne8VFZ-opyGWXn7UFRVFKAgpjDqG3CHCXoNZHH8Vaj4Y3XWf8YMvumc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mundoheitor8456,UCV_VjqjwUonaMToxu9dre8Q,Me dá me dá um coraçãozinho ou senão eu vou ficar vou ficar triste😭😭😭😭😭😭,2022-03-08T21:50:18Z,2022-03-08T21:50:18Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
