video_id,comment_id,author,author_profile_image_url,author_channel_url,author_channel_id,comment,published_at,updated_at,like_count,viewer_rating,can_rate,is_reply,parent_id,channel_id
E-LPauaKpJw,Ugy6eFszLk9H9xE8u0B4AaABAg,@Zane508,https://yt3.ggpht.com/hXQlzLiSMUNFjtQJg2ChlYqLV300cV9Te6sY6fIepMwCtVxfhY_BVJbJFHtuf83KxOlKqGibeQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Zane508,UCi3v2D7mU-hvL12J4tIuzqw,❤❤❤❤,2024-01-28T22:03:41Z,2024-01-28T22:03:41Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgwXeQ1dijPkJYUqC4Z4AaABAg,@Zane508,https://yt3.ggpht.com/hXQlzLiSMUNFjtQJg2ChlYqLV300cV9Te6sY6fIepMwCtVxfhY_BVJbJFHtuf83KxOlKqGibeQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Zane508,UCi3v2D7mU-hvL12J4tIuzqw,🎉🎉🎉🎉,2024-01-28T22:03:29Z,2024-01-28T22:03:29Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgyghYvpOPkv-LeJELp4AaABAg,@Zane508,https://yt3.ggpht.com/hXQlzLiSMUNFjtQJg2ChlYqLV300cV9Te6sY6fIepMwCtVxfhY_BVJbJFHtuf83KxOlKqGibeQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Zane508,UCi3v2D7mU-hvL12J4tIuzqw,😊😊😊😊,2024-01-28T22:03:16Z,2024-01-28T22:03:16Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,Ugx-ZnYFCFW3Hew7Hvl4AaABAg,@karlamagalhaes6341,https://yt3.ggpht.com/ytc/AIdro_m1995IDGCkF4oiouWurHDrL1-h0pfbko5ST5TWmzfmLw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@karlamagalhaes6341,UCCfoF205gCBxlfam4Puw2wg,Oi authenticgames  eu sou seu fã  e eu quero muito que você  volte  com perdidos valeu TT,2023-07-26T14:29:04Z,2023-07-26T14:29:04Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgyVhYGc6dXxcMIjZYN4AaABAg,@Stark_80,https://yt3.ggpht.com/0aJOmfZXL-bQZjUlnzzk1QGtkYJfPAkLyvy1B9zHUyWR5H6VutZRzzUVmFqvFBhPLufhklzK=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Stark_80,UCJXWf2Mj7S4iZPEjQlVVO7Q,6:37,2023-06-02T17:43:45Z,2023-06-02T17:43:57Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgxfEL-MS8A5EB0j7rt4AaABAg,@Degdeg157BR,https://yt3.ggpht.com/prU0-1tQLHQk0Yv-WYZE1b_djlWQxtymerZe1jWNNvJKKr3pUczNxIni0VO7x745WLwlpmuO=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Degdeg157BR,UCIxNr2c7ygFZ0-qsdSaMgSg,6:39,2023-01-17T19:40:21Z,2023-01-17T19:40:21Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgzX48mt_xWqdWEcpb14AaABAg,@garenafcil85,https://yt3.ggpht.com/eHCBnTOaDxeMpmV9ARDGA8VD55Gi9B8Ig5h9I9YyCxTihJC1tA5PEXqegX6YV3P48_LautesCS8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@garenafcil85,UCY5GPZ28VK4eOziEasZ0Z2Q,"Que bom que vai voltar com a série Perdidos, eu espero que a Moonkase que ficou com raiva de vc, espero q ela possa voltar a participar dessa série. E assim se o episódio 10 for o tema de novos sobreviventes , possa colocar o Tazer pra ficar legal",2023-01-14T21:02:11Z,2023-01-14T21:02:11Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgzX48mt_xWqdWEcpb14AaABAg.9ksjzQdsO219sAJqyJvyem,@pudimdatay,https://yt3.ggpht.com/S4AlOCqff7fgVlPGIr9L-KK-4XUi-k_bAwZk3RZtrMXYuLJ0VJeL8RWKpDxoew5q_WTmIazQqQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@pudimdatay,UCuIySHS76E7T-RlVXWS1YSQ,"Ixquece q a Gih vai legendar, não se preocupe 😌🤙",2023-07-15T01:50:25Z,2023-07-15T01:50:25Z,0,none,True,True,UgzX48mt_xWqdWEcpb14AaABAg,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgzLy_wUX-YWyICLrOp4AaABAg,@lucasfodan,https://yt3.ggpht.com/ytc/AIdro_k7PAv3yvjvACNagXAXJtaGh-DZtuZB443kDjk-6TwLig=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lucasfodan,UCcDBMqSRnP4sGf4MOlx0V3w,6:46 a GihAnima engatilhou o cara KADKASKDADKASK,2023-01-14T20:30:13Z,2023-01-14T20:30:42Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgxSbDdGRluwrzy-vCx4AaABAg,@meirezitcha,https://yt3.ggpht.com/WenC_l4Qal-kp6ZCmdlIeVCRXTEslpW9o6kH-2JlgFLixO_Xk3bZILQh8Q_zym1yIBtB3jj9=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@meirezitcha,UCAaI08zzj7M3GHAxFoaOi5Q,"6:42 meu deus se for a Gih , espero q o 2023 dela seja otimo com um youtuber de 20M !! mds",2023-01-14T20:23:53Z,2023-01-14T20:24:11Z,1,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgxSbDdGRluwrzy-vCx4AaABAg.9ksfawz3j1p9ksgIF_IgFC,@lucasfodan,https://yt3.ggpht.com/ytc/AIdro_k7PAv3yvjvACNagXAXJtaGh-DZtuZB443kDjk-6TwLig=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lucasfodan,UCcDBMqSRnP4sGf4MOlx0V3w,"é ela moss, a GihAnima",2023-01-14T20:29:56Z,2023-01-14T20:29:56Z,0,none,True,True,UgxSbDdGRluwrzy-vCx4AaABAg,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgweKr6IC3XesSDWW0R4AaABAg,@mariadefatimamoreirachaves8978,https://yt3.ggpht.com/ytc/AIdro_kl0gU-mL24DOif-u2yj1X6FVkTPVNNeQhsGSqDvO4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mariadefatimamoreirachaves8978,UCEdojF5EBilYeibRex1wiKQ,TT volta com perdidos episódio 10 por favor,2022-12-06T20:15:16Z,2022-12-06T20:15:16Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,Ugw60RcTP4CGgM826Lp4AaABAg,@mariadefatimamoreirachaves8978,https://yt3.ggpht.com/ytc/AIdro_kl0gU-mL24DOif-u2yj1X6FVkTPVNNeQhsGSqDvO4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mariadefatimamoreirachaves8978,UCEdojF5EBilYeibRex1wiKQ,TT vc pode voltar a jogar KOGAMA,2022-12-06T20:13:15Z,2022-12-06T20:13:15Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgwzBRcMgIQHtfYxtRl4AaABAg,@filindogode,https://yt3.ggpht.com/KY0C_g8w3S5VplYcHRn7PjDoGmLMRJB06_o1edVPW6yueWCgoN_CQhHZ0Xs6VZh3QK2YohRf=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@filindogode,UCTNKZUu_2_kMQZ30RvQF2NA,"ah e outra coisa..
''maninha'' acho que não é bom vc considerar ela disso pq nem fã ela é kk, ela ja falou nos stories do insta
mas ela afirma q gosta de vcs..",2022-08-15T22:48:11Z,2022-08-15T22:48:11Z,0,none,True,False,,UCIPA6iWNaoetaa1T46RkzXw
E-LPauaKpJw,UgwzBRcMgIQHtfYxtRl4AaABAg.9elYHnwwfZn9ksgTRy6Fu2,@lucasfodan,https://yt3.ggpht.com/ytc/AIdro_k7PAv3yvjvACNagXAXJtaGh-DZtuZB443kDjk-6TwLig=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lucasfodan,UCcDBMqSRnP4sGf4MOlx0V3w,verdade,2023-01-14T20:31:28Z,2023-01-14T20:31:28Z,0,none,True,True,UgwzBRcMgIQHtfYxtRl4AaABAg,UCIPA6iWNaoetaa1T46RkzXw
